id,card_name,display_name,card_set,card_type,effect_text,flavor_text,source_file
Dream Stone,Dream Stone,Dream Stone,Del,Construct,You may banish this to roll the Delirium Die.,Look upon what might have been and what may come to pass.,set13_cards.lua
The Dragon's Eye,The Dragon's Eye,The Dragon's Eye,Del,Construct,"When you play this, gain 1I.
",,set13_cards.lua
Delirium Nymph,Delirium Nymph,Delirium Nymph,Del,Hero,"Gain 1R.
",,set13_cards.lua
Dreamscape Dryad,Dreamscape Dryad,Dreamscape Dryad,Del,Hero,"Gain 3H.
",,set13_cards.lua
Pollen Pixie,Pollen Pixie,Pollen Pixie,Del,Hero,Gain 2R and 1H.,You're going to feel a little funny at first...,set13_cards.lua
Dream Guide,Dream Guide,Dream Guide,Del,Hero,Gain 2R and 1I.,"At the edge of the world, she is a guide to everything beyond.",set13_cards.lua
Tuskrider,Tuskrider,Tuskrider,Del,Hero,"Draw a card.
",Truffles and manflesh.,set13_cards.lua
Vineweaver,Vineweaver,Vineweaver,Del,Hero,Gain 4H.,,set13_cards.lua
"Kor, Worldbreaker","Kor, Worldbreaker","Kor, Worldbreaker",Del,Hero,"Gain 2R and draw a card.
",,set13_cards.lua
"Evvy, Ogo's Gift","Evvy, Ogo's Gift","Evvy, Ogo's Gift",Del,Hero,"Acquire a Hero without paying its cost and put it on top of your deck.
",,set13_cards.lua
Ogo War Tree,Ogo War Tree,Ogo War Tree,Del,Construct,"Once per turn, when you acquire a Hero in the center row, ",Safe travels!,set13_cards.lua
Steelweaver,Steelweaver,Steelweaver,Del,Hero,Gain 1R. ,,set13_cards.lua
Scrapbot Scrapper,Scrapbot Scrapper,Scrapbot Scrapper,Del,Hero,Gain 2P. ,One man's trash is another bot's weapon.,set13_cards.lua
Inferna Templar,Inferna Templar,Inferna Templar,Del,Hero,"Draw a card.
",,set13_cards.lua
Emma Ironheart,Emma Ironheart,Emma Ironheart,Del,Hero,Gain 3R. ,,set13_cards.lua
Clockwork Shield,Clockwork Shield,Clockwork Shield,Del,Construct,"Once per turn, when you play a Mechana Construct (including this one), ",,set13_cards.lua
Clockwork Blade,Clockwork Blade,Clockwork Blade,Del,Construct,"Once per turn, when you play a Mechana Construct (including this one), ",,set13_cards.lua
Clockwork Helm,Clockwork Helm,Clockwork Helm,Del,Construct,"Once per turn, when you play a Mechana Construct (including this one), ",,set13_cards.lua
Clockwork Familiar,Clockwork Familiar,Clockwork Familiar,Del,Construct,"Once per turn, when you play a Mechana Construct (including this one), ",,set13_cards.lua
Salvage Yard,Salvage Yard,Salvage Yard,Del,Construct,"At the start of your turn, return this to your hand.",Recycle. Rebuild. Reuse.,set13_cards.lua
"Dhartha, Mechamonk","Dhartha, Mechamonk","Dhartha, Mechamonk",Del,Construct,"Once per turn, when you play a Mechana Construct (including this one), ",,set13_cards.lua
Nihil Chemist,Nihil Chemist,Nihil Chemist,Del,Hero,Gain 1P. ,,set13_cards.lua
Voidrager,Voidrager,Voidrager,Del,Hero,Gain 2P. ,,set13_cards.lua
Shield Bearer,Shield Bearer,Shield Bearer,Del,Hero,"Draw a card.
",,set13_cards.lua
Voidspeaker,Voidspeaker,Voidspeaker,Del,Hero,"Gain 2P.
",A ravenous appetite for human emotion.,set13_cards.lua
Darktome Librarian,Darktome Librarian,Darktome Librarian,Del,Hero,"Gain 2I.
","Be careful, page six bites.",set13_cards.lua
"Naka, Shadeborn","Naka, Shadeborn","Naka, Shadeborn",Del,Hero,"Gain 3P.
",,set13_cards.lua
"Cetra, Voidmother","Cetra, Voidmother","Cetra, Voidmother",Del,Hero,"Gain 4P.
",,set13_cards.lua
Arbiter Circlet,Arbiter Circlet,Arbiter Circlet,Del,Construct,"Once per turn, gain 1P.",Demon bone and one hundred souls.,set13_cards.lua
Nilhammer,Nilhammer,Nilhammer,Del,Construct,"Echo: Once per turn, gain 3P. ",Need something that breaks bones and spirits?,set13_cards.lua
Demon Pups,Demon Pups,Demon Pups,Del,Monster,Reward: Gain 1H. ,I just wanted to pet one!,set13_cards.lua
Dream Eater,Dream Eater,Dream Eater,Del,Monster,Reward: Gain 2H and 1I.,"The dream was painful, but the reality was torture.",set13_cards.lua
Delirium Pixies,Delirium Pixies,Delirium Pixies,Del,Monster,Reward: Gain 2H and 3R.,Come play with us.,set13_cards.lua
Mammoth Beetle,Mammoth Beetle,Mammoth Beetle,Del,Monster,Reward: Gain 3H. ,,set13_cards.lua
Bleaktoad,Bleaktoad,Bleaktoad,Del,Monster,Reward: Gain 4H. ,,set13_cards.lua
Dreadmare,Dreadmare,Dreadmare,Del,Monster,Reward: Gain 4H and 3I.,A soul a day keeps the Dreadmare away.,set13_cards.lua
Oak of Souls,Oak of Souls,Oak of Souls,Del,Monster,Reward: Gain 3H. ,The result of conscious death in an unconscious world.,set13_cards.lua
"Zis, Dreamreaper","Zis, Dreamreaper","Zis, Dreamreaper",Del,Monster,Reward: Gain 5H. ,"As many ways to die, as there are dreams to be dreamt.",set13_cards.lua
Torment Legionary,Torment Legionary,Torment Legionary,Del,Monster,Reward: Gain 6H. ,"Boundless ambition, beyond death, beyond reality.",set13_cards.lua
Karion,Karion,Karion,Del,Monster,Reward: Gain 5H and 10I.,"The Dreamscape gate is corrupt, a hellish wound on two worlds.",set13_cards.lua
"Glover, Dream Titan","Glover, Dream Titan","Glover, Dream Titan",Del,Monster,Reward: Gain 7H. ,,set13_cards.lua
Dreamseeker Start,Dreamseeker Start,Dreamseeker,Dlvr,Hero,Gain 1I and draw a card.,Dreams maketh and dreams breaketh.,set14_cards.lua
"Pasythea, The Redeemed","Pasythea, The Redeemed","Pasythea, The Redeemed",Dlvr,Hero,"This Hero counts as all factions
",,set14_cards.lua
Pasythea's Cutlass,Pasythea's Cutlass,Pasythea's Cutlass,Dlvr,Construct,"This Construct counts as all factions.
",,set14_cards.lua
Pasythea's Katana,Pasythea's Katana,Pasythea's Katana,Dlvr,Construct,"This Construct counts as all factions.
",,set14_cards.lua
Pasythea's Mace,Pasythea's Mace,Pasythea's Mace,Dlvr,Construct,"This Construct counts as all factions.
",,set14_cards.lua
Pasythea's Scimitar,Pasythea's Scimitar,Pasythea's Scimitar,Dlvr,Construct,"This Construct counts as all factions.
",,set14_cards.lua
Dreamwalker,Dreamwalker,Dreamwalker,Dlvr,Hero,"Banish a card in the center row.
",Are you sure you want to know?,set14_cards.lua
Dream Chamber Disciples,Dream Chamber Disciples,Dream Chamber Disciples,Dlvr,Hero,"Draw a card.
",The Arha teach us that in time all traditions,set14_cards.lua
Azurite Channeler,Azurite Channeler,Azurite Channeler,Dlvr,Hero,"Banish a card in your hand and replace it with a Mystic or Heavy Infantry.
",,set14_cards.lua
Psyonic Apprentice,Psyonic Apprentice,Psyonic Apprentice,Dlvr,Hero,"While this is in your hand, you may pay 7I ",,set14_cards.lua
Psyonic Paladin,Psyonic Paladin,Psyonic Paladin,Dlvr,Hero,Defeat a Monster in the center row,"As the armor is shaped by our thoughts,",set14_cards.lua
Aether Warrior,Aether Warrior,Aether Warrior,Dlvr,Hero,"PHANTASM - While this is in the center row, ",My blade severs both flesh and soul.,set14_cards.lua
Psyche Askara,Psyche Askara,Psyche Askara,Dlvr,Hero,Copy the effect of a Hero you have played this turn,The Arha teach us that in time all traditions,set14_cards.lua
"Dhartha, Dream Master","Dhartha, Dream Master","Dhartha, Dream Master",Dlvr,Hero,"PHANTASM - While this is in the center row, ",,set14_cards.lua
Dream Anchor,Dream Anchor,Dream Anchor,Dlvr,Construct,"PLUNDER - Once per turn, if you acquire a card AND defeat a Monster,",,set14_cards.lua
Entrophantasm,Entrophantasm,Entrophantasm,Dlvr,Hero,"Gain 1R and 1I.
",Are you sure you want to know?,set14_cards.lua
Dreamscarred Hunter,Dreamscarred Hunter,Dreamscarred Hunter,Dlvr,Hero,"Draw a card.
",Are you sure you want to know?,set14_cards.lua
Faerie Commander,Faerie Commander,Faerie Commander,Dlvr,Hero,Gain 2R.,He was found dead in the forest a million little cuts.,set14_cards.lua
Green Spritelings,Green Spritelings,Green Spritelings,Dlvr,Hero,"PHANTASM - While this is in the center row, ",Are you sure you want to know?,set14_cards.lua
Wereboar,Wereboar,Wereboar,Dlvr,Hero,Gain 2P.,Are you sure you want to know?,set14_cards.lua
Lychan Ranger,Lychan Ranger,Lychan Ranger,Dlvr,Hero,"While this is in your hand, you may pay 6I",,set14_cards.lua
Lychan Beast,Lychan Beast,Lychan Beast,Dlvr,Hero,Gain 3R and 3P.,They'll never see me coming.,set14_cards.lua
"Rut, Oaken Master","Rut, Oaken Master","Rut, Oaken Master",Dlvr,Hero,"Gain 3H and draw a card.
",,set14_cards.lua
Tree of Bounty,Tree of Bounty,Tree of Bounty,Dlvr,Construct,"PLUNDER - Once per turn, if you acquire a card AND defeat a Monster,",Are you sure you want to know?,set14_cards.lua
Corite Mechanadon,Corite Mechanadon,Corite Mechanadon,Dlvr,Hero,"PHANTASM - While this is in the center row, ",,set14_cards.lua
Controlsmith,Controlsmith,Controlsmith,Dlvr,Hero,Gain 2R.,,set14_cards.lua
Stone Artificers,Stone Artificers,Stone Artificers,Dlvr,Hero,Gain 2R.,,set14_cards.lua
Gearseer,Gearseer,Gearseer,Dlvr,Hero,"PHANTASM - While this is in the center row, ",The only difference between genius and madness is execution.,set14_cards.lua
Teletransmitter Blueprint,Teletransmitter Blueprint,Teletransmitter Blueprint,Dlvr,Construct,You may pay 5I to transform this into Emma's Teletransmitter.,"It's like telepathy, but less effective.
",set14_cards.lua
Emma's Teletransmitter,Emma's Teletransmitter,Emma's Teletransmitter,Dlvr,Construct,"Once per turn, gain 1H for each Transformed Mechana Construct you contol.","""Why in the five hells would I be calling you",set14_cards.lua
Mechannon Blueprint,Mechannon Blueprint,Mechannon Blueprint,Dlvr,Construct,You may pay 5I to transform this into Emma's Mechannon.,"""I wonder what kind of dent this thing is",set14_cards.lua
Emma's Mechannon,Emma's Mechannon,Emma's Mechannon,Dlvr,Construct,"Once per turn, gain 1P for each Transformed Mechana Construct you contol.","""Did anyone see that? I put a hole",set14_cards.lua
Voidcycler Blueprint,Voidcycler Blueprint,Voidcycler Blueprint,Dlvr,Construct,You may pay 5I to transform this into Emma's Voidcycler.,"""I wonder what kind of dent this thing is",set14_cards.lua
Emma's Voidcycler,Emma's Voidcycler,Emma's Voidcycler,Dlvr,Construct,"Once per turn, gain 1R for each Transformed Mechana Construct you contol.","""This proves it.",set14_cards.lua
Emma's Workshop,Emma's Workshop,Emma's Workshop,Dlvr,Construct,"Once per turn, you may transform a Mechana Construct","""This place is falling apart.",set14_cards.lua
Ironheart Blueprint,Ironheart Blueprint,Ironheart Blueprint,Dlvr,Construct,"You may pay 15I to transform this into The Ironheart.
",,set14_cards.lua
The Ironheart,The Ironheart,The Ironheart,Dlvr,Construct,"Once per turn, gain 3R, 3P, and 3H.","""I don't care how many tentacles you have.",set14_cards.lua
Blackwatch Dreamer,Blackwatch Dreamer,Blackwatch Dreamer,Dlvr,Hero,"PHANTASM - While this is in the center row,",,set14_cards.lua
Void Amathyst Defender,Void Amathyst Defender,Void Amathyst Defender,Dlvr,Hero,"Gain 2P.
",,set14_cards.lua
Demon Hunter,Demon Hunter,Demon Hunter,Dlvr,Hero,"While this is in your hand, you may pay 8I",Good. Bad. Try the one with the sword.,set14_cards.lua
Demon Master,Demon Master,Demon Master,Dlvr,Hero,Gain 5P.,"The job is tough, but the smell is worse.",set14_cards.lua
Invokist,Invokist,Invokist,Dlvr,Hero,"PHANTASM - While this is in the center row,","Fear has a face.
",set14_cards.lua
Nihil Bomber,Nihil Bomber,Nihil Bomber,Dlvr,Hero,Draw a card.,"Fear has a face.
",set14_cards.lua
"Naka, Emri's Chosen","Naka, Emri's Chosen","Naka, Emri's Chosen",Dlvr,Hero,"Gain 4P.
",,set14_cards.lua
"Emri, Soulstealer","Emri, Soulstealer","Emri, Soulstealer",Dlvr,Hero,"Gain 5P. If there are 10 or more Monsters in the Void, gain 10P instead","Another day, another demigod.",set14_cards.lua
Zinta's Bracers,Zinta's Bracers,Zinta's Bracers,Dlvr,Construct,"Once per turn, if you have gained 2I or more, gain 2P.",Zinta reached into the Void and from it pulled daggers.,set14_cards.lua
Nightmarauders,Nightmarauders,Nightmarauders,Dlvr,Monster,Reward: Gain 1H and 1I.,They're everywhere!.,set14_cards.lua
Terminites,Terminites,Terminites,Dlvr,Monster,Reward: Gain 3H. ,"They're just bugs, soldier. How big could they be?.",set14_cards.lua
Warpdruid,Warpdruid,Warpdruid,Dlvr,Monster,Reward: Gain 2H. ,Bark split flesh as .,set14_cards.lua
Dreadmage,Dreadmage,Dreadmage,Dlvr,Monster,Reward: Gain 2H and draw two cards. ,,set14_cards.lua
Warprogue,Warprogue,Warprogue,Dlvr,Monster,Reward: Gain 3H.,Love is a dream. Love is a nightmare.,set14_cards.lua
Dream Titan,Dream Titan,Dream Titan,Dlvr,Monster,Reward: Gain 6H.,"A gold giant, taller than the mountains",set14_cards.lua
Obfusca Spirit,Obfusca Spirit,Obfusca Spirit,Dlvr,Monster,Reward: Gain 4H. ,Love is a dream. Love is a nightmare.,set14_cards.lua
Dream Tyrant,Dream Tyrant,Dream Tyrant,Dlvr,Monster,Reward: Gain 5H and 5I.,"A gold giant, taller than the mountains",set14_cards.lua
River Reaper,River Reaper,River Reaper,Dlvr,Monster,Reward: Gain 6H.,"A gold giant, taller than the mountains",set14_cards.lua
"Caaro, Desert Breaker","Caaro, Desert Breaker","Caaro, Desert Breaker",Dlvr,Monster,Reward: Gain 4H.,"A gold giant, taller than the mountains",set14_cards.lua
"Nilia, The Shattered","Nilia, The Shattered","Nilia, The Shattered",Dlvr,Monster,Reward: Gain 5H.,"A gold giant, taller than the mountains",set14_cards.lua
"Rakar, Corrupt Askara","Rakar, Corrupt Askara","Rakar, Corrupt Askara",Dlvr,Monster,Reward: Gain 6H. ,Love is a dream. Love is a nightmare.,set14_cards.lua
"Vezra'Tull, The Voidwyrm","Vezra'Tull, The Voidwyrm","Vezra'Tull, The Voidwyrm",promo,Hero,"You may spend P instead of H to acquire this.
",Some Dragons horde gold. She hordes nightmares.,set14_cards.lua
Boon: Master Dhartha,Boon: Master Dhartha,Boon: Master Dhartha,LGND,Hero,"Once this turn, draw a card.",,set17_cards.lua
Boon - Master Dhartha,Boon - Master Dhartha,Boon: Master Dhartha,LGND,Boon,"Once this turn, draw a card.",,set17_cards.lua
Boon - Ulu,Boon - Ulu,Boon: Ulu,LGND,Boon,"Once this turn, gain 1 renown in another faction.",,set17_cards.lua
Legendary Boon - Enlightened,Legendary Boon - Enlightened,Legendary Boon: Enlightened,LGND,Boon,Acquire or defeat any Enlightened card from the Center Row without paying its cost.,,set17_cards.lua
Boon: Cetra,Boon: Cetra,Boon: Cetra,LGND,Hero,"Once this turn, you may put a Hero from your discard pile on top of your deck.",,set17_cards.lua
Boon - Cetra,Boon - Cetra,Boon: Cetra,LGND,Boon,"Once this turn, you may put a Hero from your discard pile on top of your deck.",,set17_cards.lua
Boon - Naira,Boon - Naira,Boon: Naira,LGND,Boon,"Once this turn, gain 2H.",,set17_cards.lua
Legendary Boon - Lifebound,Legendary Boon - Lifebound,Legendary Boon: Lifebound,LGND,Boon,Acquire or defeat any Lifebound card from the Center Row without paying its cost.,,set17_cards.lua
Boon: Kor,Boon: Kor,Boon: Kor,LGND,Hero,"Once this turn, gain 2R.",,set17_cards.lua
Boon - Kor,Boon - Kor,Boon: Kor,LGND,Boon,"Once this turn, gain 2R.",,set17_cards.lua
Boon - P.R.I.M.E.,Boon - P.R.I.M.E.,Boon: P.R.I.M.E.,LGND,Boon,"Once this turn, you may return a Construct from your discard pile to your hand.",,set17_cards.lua
Legendary Boon - Mechana,Legendary Boon - Mechana,Legendary Boon: Mechana,LGND,Boon,Acquire or defeat any Mechana card from the Center Row without paying its cost.,,set17_cards.lua
Boon: Naka,Boon: Naka,Boon: Naka,LGND,Hero,"Once this turn, you may banish a card you played this turn.",,set17_cards.lua
Boon - Naka,Boon - Naka,Boon: Naka,LGND,Boon,"Once this turn, you may banish a card you played this turn.",,set17_cards.lua
Boon - Emri,Boon - Emri,Boon: Emri,LGND,Boon,"Once this turn, gain 2P.",,set17_cards.lua
Legendary Boon - Void,Legendary Boon - Void,Legendary Boon: Void,LGND,Boon,Acquire or defeat any Void card from the Center Row without paying its cost.,,set17_cards.lua
Arha Recruit,Arha Recruit,Arha Recruit,LGND,Hero,"Draw a card.
",,set17_cards.lua
Askara of Judgement,Askara of Judgement,Askara of Judgement,LGND,Hero,Draw a card.,,set17_cards.lua
Pathseeker Sensei,Pathseeker Sensei,Pathseeker Sensei,LGND,Hero,Defeat a monster of 4P or less without paying its cost.,,set17_cards.lua
Arha Emissary,Arha Emissary,Arha Emissary,LGND,Hero,"Draw a card.
",,set17_cards.lua
Mountain Seer,Mountain Seer,Mountain Seer,LGND,Hero,"Draw a card, then banish a card in the Center Row.",,set17_cards.lua
Master Vaya,Master Vaya,Master Vaya,LGND,Hero,Draw two cards.,,set17_cards.lua
Tablet of the Templar,Tablet of the Templar,Tablet of the Templar,LGND,Construct,You may destroy this to defeat a Monster of cost 4P or less without paying its cost.,,set17_cards.lua
Mycelial Mage,Mycelial Mage,Mycelial Mage,LGND,Hero,"Draw a card.
",,set17_cards.lua
Mushroom Druid,Mushroom Druid,Mushroom Druid,LGND,Hero,Gain 3H.,,set17_cards.lua
Lycan Fang,Lycan Fang,Lycan Fang,LGND,Hero,Gain 2R.,,set17_cards.lua
Forest Emissary,Forest Emissary,Forest Emissary,LGND,Hero,"Draw a card.
",,set17_cards.lua
Snowstrider Lycan,Snowstrider Lycan,Snowstrider Lycan,LGND,Hero,"Gain 1R, 1H, 1P, and draw a card.",,set17_cards.lua
Turtler Merchant,Turtler Merchant,Turtler Merchant,LGND,Hero,"Gain 5H.
",,set17_cards.lua
Landis' Potions & Pies,Landis' Potions & Pies,Landis' Potions & Pies,LGND,Construct,"Once per turn, gain 1H.
",Are you sure you want to know?,set17_cards.lua
Sablespark Sisters,Sablespark Sisters,Sablespark Sisters,LGND,Hero,"Draw a card.
",,set17_cards.lua
Mecha Emissary,Mecha Emissary,Mecha Emissary,LGND,Hero,"Draw a card.
",,set17_cards.lua
The Dreamscrape,The Dreamscrape,The Dreamscrape,LGND,Construct,"Once per turn, you may destroy another one of your Mechana Constructs to gain 2R.",,set17_cards.lua
Korpse Maker,Korpse Maker,Korpse Maker,LGND,Construct,"Once per turn, when you play a Mechana Construct (including this one), gain 2P.",,set17_cards.lua
Mechannihilator,Mechannihilator,Mechannihilator,LGND,Construct,"Once per turn, you may destroy another one of your Mechana Constructs to gain 3P.",,set17_cards.lua
Ironheart Engine,Ironheart Engine,Ironheart Engine,LGND,Construct,"Once per turn, when you play a Mechana Construct (including this one), gain 3R.",,set17_cards.lua
Mechaphoenix,Mechaphoenix,Mechaphoenix,LGND,Construct,"Once per turn, when you play a Mechana Construct (including this one),",,set17_cards.lua
Bombcrafter,Bombcrafter,Bombcrafter,LGND,Hero,"Draw a card.
",,set17_cards.lua
Shade Feather,Shade Feather,Shade Feather,LGND,Hero,Gain 1P.,,set17_cards.lua
Void Emissary,Void Emissary,Void Emissary,LGND,Hero,"Draw a card.
",,set17_cards.lua
Shadow Mender,Shadow Mender,Shadow Mender,LGND,Hero,Gain 3P.,,set17_cards.lua
Shadow Arbiter,Shadow Arbiter,Shadow Arbiter,LGND,Hero,Draw a card.,,set17_cards.lua
"Raiyna, Riftwalker","Raiyna, Riftwalker","Raiyna, Riftwalker",LGND,Hero,"Gain 4P.
",,set17_cards.lua
Riftclaw,Riftclaw,Riftclaw,LGND,Construct,"Once per turn, gain 1P.",,set17_cards.lua
Claws of Deoful,Claws of Deoful,Claws of Deoful,LGND,Monster,"Reward: Gain 4H.
",,set17_cards.lua
Hurricane Warlock,Hurricane Warlock,Hurricane Warlock,LGND,Monster,Reward: Gain 2H.,,set17_cards.lua
Correction of Creation,Correction of Creation,Correction of Creation,LGND,Monster,Reward: Gain 2H.,,set17_cards.lua
The Iron Seven,The Iron Seven,The Iron Seven,LGND,Monster,Reward: Gain 3H.,,set17_cards.lua
Hellstring Blades,Hellstring Blades,Hellstring Blades,LGND,Monster,Reward: Gain 5H.,,set17_cards.lua
MarrowWyrm Rider,MarrowWyrm Rider,MarrowWyrm Rider,LGND,Monster,Reward: Gain 3H.,,set17_cards.lua
Muse of Malevolence,Muse of Malevolence,Muse of Malevolence,LGND,Monster,Reward: Gain 5H.,,set17_cards.lua
Lifebound Remnant,Lifebound Remnant,Lifebound Remnant,LGND,Monster,"Reward: Gain 3H.
",,set17_cards.lua
Enlightened Remnant,Enlightened Remnant,Enlightened Remnant,LGND,Monster,"Reward: Gain 5H.
",,set17_cards.lua
Mechana Remnant,Mechana Remnant,Mechana Remnant,LGND,Monster,"Reward: Gain 4H.
",,set17_cards.lua
Void Remnant,Void Remnant,Void Remnant,LGND,Monster,"Reward: Gain 4H.
",,set17_cards.lua
Remnant of the Fallen,Remnant of the Fallen,Remnant of the Fallen,LGND,Monster,"Reward: Gain 5H.
",,set17_cards.lua
Monk of the Stone Circle,Monk of the Stone Circle,Monk of the Stone Circle,LGND,Hero,Acquire a Hero with cost 3R or less and put it into your hand.,,set17_cards.lua
Psychic Amulet,Psychic Amulet,Psychic Amulet,LGND,Construct,"Once per turn, when you play a Mechana or Enlightened Construct (including this one), draw a card.",,set17_cards.lua
Psionic Monk,Psionic Monk,Psionic Monk,LGND,Hero,"Draw 2 cards.
",,set17_cards.lua
Portal Ninja,Portal Ninja,Portal Ninja,LGND,Hero,"Gain 2R.
",,set17_cards.lua
Fallen Fae,Fallen Fae,Fallen Fae,LGND,Hero,"Gain 2P.
",,set17_cards.lua
Dark Monk,Dark Monk,Dark Monk,LGND,Hero,"Gain 2P.
",,set17_cards.lua
Shade Askara,Shade Askara,Shade Askara,LGND,Hero,"Gain 3P.
",,set17_cards.lua
The Chrome Circle,The Chrome Circle,The Chrome Circle,LGND,Construct,"Once per turn, when you play a Mechana or Lifebound Construct (including this one), gain 1R and 1H.",,set17_cards.lua
Mecha Cetra,Mecha Cetra,Mecha Cetra,LGND,Hero,You may acquire a Hero or Construct from the Center Row,,set17_cards.lua
Legend - Master Dhartha,Legend - Master Dhartha,Legend: Master Dhartha,LGND,Legend,"Once this turn, draw a card.",,set17_cards.lua
Legend - Ulu,Legend - Ulu,Legend: Ulu,LGND,Legend,"Once this turn, gain 1 renown in another faction.",,set17_cards.lua
Legend - Cetra,Legend - Cetra,Legend: Cetra,LGND,Legend,"Once this turn, you may put a Hero from your discard pile on top of your deck.",,set17_cards.lua
Legend - Naira,Legend - Naira,Legend: Naira,LGND,Legend,"Once this turn, gain 2H.",,set17_cards.lua
Legend - Kor,Legend - Kor,Legend: Kor,LGND,Legend,"Once this turn, gain 2R.",,set17_cards.lua
Legend - P.R.I.M.E.,Legend - P.R.I.M.E.,Legend: P.R.I.M.E.,LGND,Legend,"Once this turn, you may return a Construct from your discard pile to your hand.",,set17_cards.lua
Legend - Naka,Legend - Naka,Legend: Naka,LGND,Legend,"Once this turn, you may banish a card you played this turn.",,set17_cards.lua
Legend - Emri,Legend - Emri,Legend: Emri,LGND,Legend,"Once this turn, gain 2P.",,set17_cards.lua
Militia 10TH,Militia 10TH,Militia,,Hero,Gain 1P.,,set1_anniv_cards.lua
Apprentice 10TH,Apprentice 10TH,Apprentice,,Hero,Gain 1R.,,set1_anniv_cards.lua
Mystic 10TH,Mystic 10TH,Mystic,,Hero,Gain 2R.,,set1_anniv_cards.lua
Heavy Infantry 10TH,Heavy Infantry 10TH,Heavy Infantry,,Hero,Gain 2P.,,set1_anniv_cards.lua
Cultist 10TH,Cultist 10TH,Cultist,,Monster,Reward: Gain 1H.,,set1_anniv_cards.lua
Arha Initiate 10TH,Arha Initiate 10TH,Arha Initiate,CotG10,Hero,Draw a card.,,set1_anniv_cards.lua
Arha Templar 10TH,Arha Templar 10TH,Arha Templar,CotG10,Hero,Defeat a Monster that has P4 or less.,,set1_anniv_cards.lua
Ascetic of the Lidless Eye 10TH,Ascetic of the Lidless Eye 10TH,Ascetic of the Lidless Eye,CotG10,Hero,Draw two cards.,,set1_anniv_cards.lua
Master Dhartha 10TH,Master Dhartha 10TH,Master Dhartha,CotG10,Hero,Draw three cards.,,set1_anniv_cards.lua
Oziah the Peerless 10TH,Oziah the Peerless 10TH,Oziah the Peerless,CotG10,Hero,Defeat a Monster that has P6 or less.,,set1_anniv_cards.lua
Seer of the Forked Path 10TH,Seer of the Forked Path 10TH,Seer of the Forked Path,CotG10,Hero,Draw a card.  Then you may banish a card in the center row.,,set1_anniv_cards.lua
Tablet of Time's Dawn 10TH,Tablet of Time's Dawn 10TH,Tablet of Time's Dawn,CotG10,Construct,Banish this Construct to take an additional turn after this one.,,set1_anniv_cards.lua
Temple Librarian 10TH,Temple Librarian 10TH,Temple Librarian,CotG10,Hero,"Discard a card.  If you do, draw two cards.",,set1_anniv_cards.lua
The All-Seeing Eye 10TH,The All-Seeing Eye 10TH,The All-Seeing Eye,CotG10,Construct,"Once per turn, you may draw a card.",,set1_anniv_cards.lua
Twofold Askara 10TH,Twofold Askara 10TH,Twofold Askara,CotG10,Hero,Copy the effect of a Hero played this turn.,,set1_anniv_cards.lua
"Cetra, Weaver of Stars 10TH","Cetra, Weaver of Stars 10TH","Cetra, Weaver of Stars",CotG10,Hero,Acquire any Hero.  Place it on top of your deck.,,set1_anniv_cards.lua
Druids of the Stone Circle 10TH,Druids of the Stone Circle 10TH,Druids of the Stone Circle,CotG10,Hero,Acquire a Hero that costs R3 or less.  Place it on top of your deck.,,set1_anniv_cards.lua
Flytrap Witch 10TH,Flytrap Witch 10TH,Flytrap Witch,CotG10,Hero,Gain 2H.  Draw a card.,,set1_anniv_cards.lua
Landtalker 10TH,Landtalker 10TH,Landtalker,CotG10,Hero,Gain 3R.,,set1_anniv_cards.lua
Lifebound Initiate 10TH,Lifebound Initiate 10TH,Lifebound Initiate,CotG10,Hero,Gain 1R and 1H.,,set1_anniv_cards.lua
Runic Lycanthrope 10TH,Runic Lycanthrope 10TH,Runic Lycanthrope,CotG10,Hero,"Gain 2R.  If you've played a Lifebound Hero this turn, gain 2P.",,set1_anniv_cards.lua
Snapdragon 10TH,Snapdragon 10TH,Snapdragon,CotG10,Construct,"Once per turn, gain 1R.  The first time you play a Lifebound Hero each turn, gain 1H.",,set1_anniv_cards.lua
Wolf Shaman 10TH,Wolf Shaman 10TH,Wolf Shaman,CotG10,Hero,Gain 1R.  Draw a card.,,set1_anniv_cards.lua
Yggdrasil Staff 10TH,Yggdrasil Staff 10TH,Yggdrasil Staff,CotG10,Construct,"Once per turn, gain 1P.
Once per turn, you may spend 4R to gain 3H.",,set1_anniv_cards.lua
Avatar Golem 10TH,Avatar Golem 10TH,Avatar Golem,CotG10,Hero,Gain 2P.  Gain 1H for each type of Construct you control.,,set1_anniv_cards.lua
Burrower Mark II 10TH,Burrower Mark II 10TH,Burrower Mark II,CotG10,Construct,Draw a card the first time you put a Mechana construct into play each turn (including this one).,,set1_anniv_cards.lua
Hedron Cannon 10TH,Hedron Cannon 10TH,Hedron Cannon,CotG10,Construct,"Once per turn, gain 1P for each Mechana Construct you control.",,set1_anniv_cards.lua
Hedron Link Device 10TH,Hedron Link Device 10TH,Hedron Link Device,CotG10,Construct,You may treat all Constructs as Mechana Constructs.,,set1_anniv_cards.lua
"Kor, the Ferromancer 10TH","Kor, the Ferromancer 10TH","Kor, the Ferromancer",CotG10,Hero,Gain 2P.  Draw a card if you control 2 or more Constructs.,,set1_anniv_cards.lua
Mechana Initiate 10TH,Mechana Initiate 10TH,Mechana Initiate,CotG10,Hero,Gain 1R or 1P.,,set1_anniv_cards.lua
