set,go_name,en,norm,from_card
dlrm,TMP Body Text,"Insight (<sprite=112>) is gained through various card effects and Dreamborn cards (see below). Unlike other resources, you do not lose unspent Insight at the end of your turn.

In <i>Ascension Delirium</i>, players start with different amounts of <sprite=112>. The player who goes first starts with zero <sprite=112>. The player who goes second starts with <sprite=113>, third starts with <sprite=114> and fourth starts with <sprite=115>. 

","Insight (<sprite=112>) is gained through various card effects and Dreamborn cards (see below). Unlike other resources, you do not lose unspent Insight at the end of your turn.

In <i>Ascension Delirium</i>, players start with different amounts of <sprite=112>. The player who goes first starts with zero <sprite=112>. The player who goes second starts with <sprite=113>, third starts with <sprite=114> and fourth starts with <sprite=115>.",
dlrm,TMP Text,Insight,Insight,
dlrm,TMP Title Text,What's New,What's New,
dlv,TMP Body Text,"The Dreamscape was sealed, locked away by the champions of New Vigil, and protected by its defender: Pasetheya, the Aegis.<br><br>But no doors stay locked forever.<br><br>It was in the Valley of the Ancients, in the forgotten jungles of the world, that explorers came upon a new gate to the Dreamscape; a portal manifest during the years of Adayu’s madness.<br><br>Despite the warnings, they broke open the portal and could only watch as all the horrors of the unconscious realm flooded into their world in a tidal wave of delirium.<br><br>Emri, Dhartha, Kor, and Cetra, the immortal champions of New Vigil, fought desperately to close the gate, but in the end, they found themselves among the first of the Dreamscape’s victims, warped by its power.<br><br>The energy seeped into the ground, infected the plants and animals, and changed the nature of all things. New and terrifying monsters sprung up, bringing death, madness, and chaos to the people of every faction.<br><br>But from the chaos, new heroes rose up, different from the champions of old. These heroes did not reject the dreamscape energy; they embraced it. Learning to wield it as weapons, channel it as magic, and harness it as fuel for their machines.<br><br>This is the final push to free the land from madness once and for all. As New Vigil dissolves into a state of delirium, you must lead the champions of the old world and the heroes of the new to call forth Pasythea, the protector of the Dreamscape, to seal the gate and stabilize the world.<br><br>New Vigil’s deliverance is in your hands!","The Dreamscape was sealed, locked away by the champions of New Vigil, and protected by its defender: Pasetheya, the Aegis.<br><br>But no doors stay locked forever.<br><br>It was in the Valley of the Ancients, in the forgotten jungles of the world, that explorers came upon a new gate to the Dreamscape; a portal manifest during the years of Adayu’s madness.<br><br>Despite the warnings, they broke open the portal and could only watch as all the horrors of the unconscious realm flooded into their world in a tidal wave of delirium.<br><br>Emri, Dhartha, Kor, and Cetra, the immortal champions of New Vigil, fought desperately to close the gate, but in the end, they found themselves among the first of the Dreamscape’s victims, warped by its power.<br><br>The energy seeped into the ground, infected the plants and animals, and changed the nature of all things. New and terrifying monsters sprung up, bringing death, madness, and chaos to the people of every faction.<br><br>But from the chaos, new heroes rose up, different from the champions of old. These heroes did not reject the dreamscape energy; they embraced it. Learning to wield it as weapons, channel it as magic, and harness it as fuel for their machines.<br><br>This is the final push to free the land from madness once and for all. As New Vigil dissolves into a state of delirium, you must lead the champions of the old world and the heroes of the new to call forth Pasythea, the protector of the Dreamscape, to seal the gate and stabilize the world.<br><br>New Vigil’s deliverance is in your hands!",
dlv,TMP Text,"The world will never be the same.",The world will never be the same.,
dlv,TMP Introduction Text,Introduction,Introduction,
dlv,TMP Body Text,"<margin-right=12em>Dreambind Monsters can be controlled and used in your deck if you pay their Dreambind cost. When you defeat a Dreambind Monster, first gain its reward, then you may pay the Dreambind <sprite=112> cost listed in the text. If you do, the Monster goes to your discard pile instead of the Void. Whenever you play a Dreambind Monster from your hand, gain its reward. You do not have to pay the Dreambind cost every time you play it to keep it in your deck.","<margin-right=12em>Dreambind Monsters can be controlled and used in your deck if you pay their Dreambind cost. When you defeat a Dreambind Monster, first gain its reward, then you may pay the Dreambind <sprite=112> cost listed in the text. If you do, the Monster goes to your discard pile instead of the Void. Whenever you play a Dreambind Monster from your hand, gain its reward. You do not have to pay the Dreambind cost every time you play it to keep it in your deck.",
dlv,TMP Flavor Text,A wish granted is a dream destroyed,A wish granted is a dream destroyed,
dlv,TMP Rules Text,"<b>Reward:</b> Gain <sprite=67>. Take <sprite=113> from an opponent.
<b>Dreambind:</b> <sprite=113>","<b>Reward:</b> Gain <sprite=67>. Take <sprite=113> from an opponent.
<b>Dreambind:</b> <sprite=113>",
dlv,TMP Class Text,Monster,Monster,
dlv,TMP Title,<size=104>W</size>arprogue,<size=104>W</size>arprogue,
dlv,TMP Text,Dreambind Monsters,Dreambind Monsters,
dlv,TMP Body Text,"<margin-right=12em>A Hero with Phantasm can be played directly from the center row. During your turn, you may pay the <sprite=112> cost listed in the Phantasm text. If you do, you play that card right then and there. Gain its effect and then banish it to the Void. Keep in mind, that for effects such as Unite, a card played with Phantasm counts for those bonuses. Cards with Phantasm can also be acquired as normal by paying their <sprite=32>cost.","<margin-right=12em>A Hero with Phantasm can be played directly from the center row. During your turn, you may pay the <sprite=112> cost listed in the Phantasm text. If you do, you play that card right then and there. Gain its effect and then banish it to the Void. Keep in mind, that for effects such as Unite, a card played with Phantasm counts for those bonuses. Cards with Phantasm can also be acquired as normal by paying their <sprite=32>cost.",
dlv,TMP Flavor Text,My blade severs both flesh and soul,My blade severs both flesh and soul,
dlv,TMP Rules Text,"Phantasm - While this is in the center row, you may pay <sprite=117> to banish and play this.<br>Draw two cards.","Phantasm - While this is in the center row, you may pay <sprite=117> to banish and play this.<br>Draw two cards.",
dlv,TMP Class Text,Enlightened Hero,Enlightened Hero,
dlv,TMP Title,<size=104>A</size>ether Warrior,<size=104>A</size>ether Warrior,1
dlv,TMP Text,Phantasm,Phantasm,
dlv,TMP Body Text,"<margin-right=12em>At the start of the game, place Pasythea on the board, at the top slot designated for her. Any player may pay her <sprite=112> cost during their turn to acquire her straight to their hand.<br><br>Pasythea does not count as a card in the center row.","<margin-right=12em>At the start of the game, place Pasythea on the board, at the top slot designated for her. Any player may pay her <sprite=112> cost during their turn to acquire her straight to their hand.<br><br>Pasythea does not count as a card in the center row.",
dlv,TMP Rules Text,"This Hero Counts as all factions.<br>When you acquire this, it goes directly to your hand.
Gain <sprite=34>, <sprite=2>, <sprite=66> and draw a card.
","This Hero Counts as all factions.<br>When you acquire this, it goes directly to your hand.
Gain <sprite=34>, <sprite=2>, <sprite=66> and draw a card.",
dlv,TMP Class Text,Hero,Hero,
dlv,TMP Title,"<size=150%>P</size>asythea, The Redeemed","<size=150%>P</size>asythea, The Redeemed",
dlv,TMP Text,Pasythea,Pasythea,
dlv,TMP Body Text,"<margin-right=12em>When playing with <i>Ascension: Deliverance</i>™, each player starts with an 11th starting card, the Dreamseeker.","<margin-right=12em>When playing with <i>Ascension: Deliverance</i>™, each player starts with an 11th starting card, the Dreamseeker.",
dlv,TMP Flavor Text,Deams maketh and dreams breaketh,Deams maketh and dreams breaketh,
dlv,TMP Rules Text,Gain <sprite=113> and draw a card,Gain <sprite=113> and draw a card,
dlv,TMP Title,<size=104>D</size>reamseeker,<size=104>D</size>reamseeker,1
dlv,TMP Text,New starting card - Dreamseeker,New starting card - Dreamseeker,
dlv,TMP Body Text,"<margin-right=12em>Dreamborn cards can be identified by their gold Dreamborn card frame.

When a Dreamborn card enters the center row, EACH player gains <sprite=113>. Additionally, when a player acquires a Dreamborn card, ONLY THAT player gains <sprite=113>.
","<margin-right=12em>Dreamborn cards can be identified by their gold Dreamborn card frame.

When a Dreamborn card enters the center row, EACH player gains <sprite=113>. Additionally, when a player acquires a Dreamborn card, ONLY THAT player gains <sprite=113>.",
dlv,TMP Rules Text,Gain <sprite=34>. You may put the next<br>Construct you acquire this turn directly<br>into play,Gain <sprite=34>. You may put the next<br>Construct you acquire this turn directly<br>into play,
dlv,TMP Dreamborn Text,Dreamborn,Dreamborn,
dlv,TMP Class Text,Mechana Hero,Mechana Hero,
dlv,TMP Title,<size=104>S</size>tone Artificers,<size=104>S</size>tone Artificers,1
dlv,TMP Text,"Dreamborn Cards",Dreamborn Cards,
dlv,TMP Body Text,"Insight (<sprite=112>) is gained through card effects and Dreamborn cards (see below). Unlike most other resources, you do not lose unspent Insight at the end of your turn.<br><br>In <i>Ascension: Deliverance</i>™, players start with different amounts of  <sprite=112>. The player who goes first starts with <sprite=123>. The player who goes second starts with <sprite=113>, third starts with <sprite=114> and fourth starts with <sprite=115>.

","Insight (<sprite=112>) is gained through card effects and Dreamborn cards (see below). Unlike most other resources, you do not lose unspent Insight at the end of your turn.<br><br>In <i>Ascension: Deliverance</i>™, players start with different amounts of  <sprite=112>. The player who goes first starts with <sprite=123>. The player who goes second starts with <sprite=113>, third starts with <sprite=114> and fourth starts with <sprite=115>.",
dlv,TMP Text,Insight,Insight,
dlv,TMP Title Text,What's New,What's New,
ds,TMP Body Text,"For the first time since most of its inhabitants can remember, New Vigil is at peace. Rallied by their champions, the four factions drove the Cult of Deofol back into the shadows. This time of prosperity gave way to a cultural and intellectual renaissance that had never been seen before.

Free to once again pursue their own passions, the monks and seers began to catch glimpses of a new realm, seemingly always at the edge of their perception, like a mirage shimmering just beyond the edges of reality. Dismissed as merely visions at first, the shared experiences soon revealed that this was something more, a pocket of creation left behind in the wake of Adayu’s ascendancy. 

This Dreamscape, as the first visitors referred to it, reflected the possibilities and impossibilities that awaited New Vigil and the people that inhabited it, but where there are dreams, there are also nightmares. 

As more people gained access to the dream world, they brought with them their own goals and desires, for better or worse. Seeing the potential for abuse of the new power, the factions chose Pasythea, an Askaran warrior, to serve as the Dreamscape’s guardian in the event that it should need one.

Now, as the factions gain new insight into the possibilities that await them in the Dreamscape, they must also be on guard for those who might abuse the power for their own nefarious ends. Join them in a world of infinite possibilities as they explore the glorious future that awaits New Vigil.

","For the first time since most of its inhabitants can remember, New Vigil is at peace. Rallied by their champions, the four factions drove the Cult of Deofol back into the shadows. This time of prosperity gave way to a cultural and intellectual renaissance that had never been seen before.

Free to once again pursue their own passions, the monks and seers began to catch glimpses of a new realm, seemingly always at the edge of their perception, like a mirage shimmering just beyond the edges of reality. Dismissed as merely visions at first, the shared experiences soon revealed that this was something more, a pocket of creation left behind in the wake of Adayu’s ascendancy.

This Dreamscape, as the first visitors referred to it, reflected the possibilities and impossibilities that awaited New Vigil and the people that inhabited it, but where there are dreams, there are also nightmares.

As more people gained access to the dream world, they brought with them their own goals and desires, for better or worse. Seeing the potential for abuse of the new power, the factions chose Pasythea, an Askaran warrior, to serve as the Dreamscape’s guardian in the event that it should need one.

Now, as the factions gain new insight into the possibilities that await them in the Dreamscape, they must also be on guard for those who might abuse the power for their own nefarious ends. Join them in a world of infinite possibilities as they explore the glorious future that awaits New Vigil.",
ds,TMP Text,"Endless possibilities await...
",Endless possibilities await...,
ds,TMP Introduction Text,Introduction,Introduction,
ds,TMP Text,"RARITY & SET ICON
Each <sprite=146> represents a copy of the card in the center deck.","RARITY & SET ICON
Each <sprite=146> represents a copy of the card in the center deck.",
ds,TMP Text,"EFFECT
What the card does when played or in play.","EFFECT
What the card does when played or in play.",
ds,TMP Text,"COST
The number of Runes you must spend to acquire this card.","COST
The number of Runes you must spend to acquire this card.",
ds,TMP Text,"FLAVOR TEXT
Flavor text has no game effect.","FLAVOR TEXT
Flavor text has no game effect.",
ds,TMP Text,"FACTION
There are 4 different factions:
<color=#4cbbeb>Enlightened
<color=#7fc241>Lifebound
<color=#b6b6b6>Mechana
<color=#bb8bbe>Void
","FACTION
There are 4 different factions:
<color=#4cbbeb>Enlightened
<color=#7fc241>Lifebound
<color=#b6b6b6>Mechana
<color=#bb8bbe>Void",
ds,TMP Text,NAME,NAME,
ds,TMP Flavor Text,"In the fell clutch of circumstances, I have not winced nor cried aloud. Under the bludgeonings of chance, my head is bloody but unbowed.","In the fell clutch of circumstances, I have not winced nor cried aloud. Under the bludgeonings of chance, my head is bloody but unbowed.",
ds,TMP Rules Text,Acquire a Hero in the center row without paying its cost.,Acquire a Hero in the center row without paying its cost.,1
ds,TMP Class Text,Lifebound Dream Vision,Lifebound Dream Vision,
ds,TMP Title,<size=104>C</size>etra's Respite,<size=104>C</size>etra's Respite,
ds,TMP Body Text,"<margin-right=12em>Visions are a new card type found in the Dream deck in Ascension: Dreamscape™. When a Vision is acquired from a player’s Dreamscape, it isn’t added to that player’s deck. Instead, the card has an immediate effect on the game. Resolve the effect on the card, then banish it unless it has an Ongoing effect. Visions with Ongoing effects stay face up in front of the player. That effect is considered to be in play for the rest of the game.","<margin-right=12em>Visions are a new card type found in the Dream deck in Ascension: Dreamscape™. When a Vision is acquired from a player’s Dreamscape, it isn’t added to that player’s deck. Instead, the card has an immediate effect on the game. Resolve the effect on the card, then banish it unless it has an Ongoing effect. Visions with Ongoing effects stay face up in front of the player. That effect is considered to be in play for the rest of the game.",
ds,TMP Flavor Text,"Victory comes at a cost, but it is cheaper than defeat.","Victory comes at a cost, but it is cheaper than defeat.",1
ds,TMP Rules Text,Defeat a Monster in the center row without paying its cost.,Defeat a Monster in the center row without paying its cost.,1
ds,TMP Class Text,Dream Vision,Dream Vision,
ds,TMP Title,<size=104>W</size>icked End,<size=104>W</size>icked End,
ds,TMP Text,Vision Cards,Vision Cards,
ds,TMP Body Text,"<margin-right=12em>Dreamborn cards are new types of Heroes and Constructs that have an effect when they enter the center row and when they are acquired. 

Whenever a Dreamborn card enters the center row, EACH player gains <sprite=113>. Also, whenever a Dreamborn card is acquired, the player that acquired that card gains <sprite=113>.
","<margin-right=12em>Dreamborn cards are new types of Heroes and Constructs that have an effect when they enter the center row and when they are acquired.

Whenever a Dreamborn card enters the center row, EACH player gains <sprite=113>. Also, whenever a Dreamborn card is acquired, the player that acquired that card gains <sprite=113>.",
ds,TMP Rules Text,"Once per turn, when you play a Mechana Construct (including this one), add a card to your Dreamscape.","Once per turn, when you play a Mechana Construct (including this one), add a card to your Dreamscape.",1
ds,TMP Dreamborn Text,Dreamborn,Dreamborn,
ds,TMP Class Text,Mechana Construct,Mechana Construct,
ds,TMP Title,<size=104>S</size>ynapse Spire,<size=104>S</size>ynapse Spire,1
ds,TMP Text,"Dreamborn Cards",Dreamborn Cards,
ds,TMP Body Text,"Insight (<sprite=112>) is gained through various card effects and Dreamborn cards (see below). Unlike other resources, you do not lose unspent Insight at the end of your turn.

","Insight (<sprite=112>) is gained through various card effects and Dreamborn cards (see below). Unlike other resources, you do not lose unspent Insight at the end of your turn.",
ds,TMP Text,Insight,Insight,
ds,TMP Body Text,"<margin-right=12em>The biggest new feature in Ascension: Dreamscape™ is the Dreamscape–a hidden set of cards players have access to during the game. Unlike center row cards, each player’s Dreamscape cards are purchasable only by that player. These cards are purchasable during the game with a new resource called Insight (<sprite=112>).

At the beginning of the game, each player is dealt five Dream cards from the Dream deck, from which they will choose three that they then add to their personal Dreamscape. The two remaining unchosen cards should be kept hidden from the other players and are shuffled back into the Dream deck. Set the Dream deck aside for easy access during the game.

The Dream deck includes Heroes, Constructs, and Visions.  In addition to unique frames, Dream cards can also be identified by their  gold borders.

<margin=0>Each player has their own Dreamscape that should be placed face down in front of them. Players may look at the cards in their Dreamscape at any time, but it should be kept hidden from everyone else. Players may purchase cards from their own Dreamscape during their turn at any time they could normally acquire cards from the center row.

","<margin-right=12em>The biggest new feature in Ascension: Dreamscape™ is the Dreamscape–a hidden set of cards players have access to during the game. Unlike center row cards, each player’s Dreamscape cards are purchasable only by that player. These cards are purchasable during the game with a new resource called Insight (<sprite=112>).

At the beginning of the game, each player is dealt five Dream cards from the Dream deck, from which they will choose three that they then add to their personal Dreamscape. The two remaining unchosen cards should be kept hidden from the other players and are shuffled back into the Dream deck. Set the Dream deck aside for easy access during the game.

The Dream deck includes Heroes, Constructs, and Visions.  In addition to unique frames, Dream cards can also be identified by their  gold borders.

<margin=0>Each player has their own Dreamscape that should be placed face down in front of them. Players may look at the cards in their Dreamscape at any time, but it should be kept hidden from everyone else. Players may purchase cards from their own Dreamscape during their turn at any time they could normally acquire cards from the center row.",
ds,TMP Flavor Text,"Emri's assassins always find their target,
regardless of where it believes it can hide.","Emri's assassins always find their target,
regardless of where it believes it can hide.",
ds,TMP Rules Text,This turn you may defeat Monsters in the void as though they were in the center row.,This turn you may defeat Monsters in the void as though they were in the center row.,1
ds,TMP Class Text,Void Dream Vision,Void Dream Vision,
ds,TMP Title,<size=104>S</size>talk the Shadows,<size=104>S</size>talk the Shadows,1
ds,TMP Text,"Dreamscape & Dream Deck
",Dreamscape & Dream Deck,
ds,TMP Title Text,What's New,What's New,
du,TMP Body Text,"Darkness has fallen over Vigil. The very shards that many once believed a blessing may now prove to be the harbinger of their doom. Eons ago, the gods fashioned a crystalline prison deep within the void to hold the twisted spawn of Samael and Nyx, a being of such power and corruption that it could not be allowed to roam free. But as the ages flew by and new threats emerged, great cracks in the prison began to appear. When Samael was at last defeated, his son flew into a rage, his fury shattering the crystal cage that once held him into countless pieces. Those shards rained down upon Vigil, bearing inklings of his power...and his vengeance. 

Erabus has been unleashed. ","Darkness has fallen over Vigil. The very shards that many once believed a blessing may now prove to be the harbinger of their doom. Eons ago, the gods fashioned a crystalline prison deep within the void to hold the twisted spawn of Samael and Nyx, a being of such power and corruption that it could not be allowed to roam free. But as the ages flew by and new threats emerged, great cracks in the prison began to appear. When Samael was at last defeated, his son flew into a rage, his fury shattering the crystal cage that once held him into countless pieces. Those shards rained down upon Vigil, bearing inklings of his power...and his vengeance.

Erabus has been unleashed.",
du,TMP Text,Introduction,Introduction,
du,TMP Body Text,"<margin-right=12em>Transform is a new mechanic introduced in Ascension: Darkness Unleashed™.  Cards that Transform represent beings and objects in the Ascension™ world undergoing dramatic changes.  These begin as one card and change into a different card when certain conditions are met.

Most of the cards that Transform do so based on Energize triggers.  If you would play a card with Transform after meeting its Energize threshold, you instead Transform the card into its new version and put that new card in your hand.  You do not generate any of the effects of the original card, nor is that card considered played.  The card remains in its Transformed state until the end of the game, when it resets to it's starting form.

","<margin-right=12em>Transform is a new mechanic introduced in Ascension: Darkness Unleashed™.  Cards that Transform represent beings and objects in the Ascension™ world undergoing dramatic changes.  These begin as one card and change into a different card when certain conditions are met.

Most of the cards that Transform do so based on Energize triggers.  If you would play a card with Transform after meeting its Energize threshold, you instead Transform the card into its new version and put that new card in your hand.  You do not generate any of the effects of the original card, nor is that card considered played.  The card remains in its Transformed state until the end of the game, when it resets to it's starting form.",
du,TMP Flavor Text,"""Gather your forces - tonight,
we come to the aid of Ogo.""","""Gather your forces - tonight,
we come to the aid of Ogo.""",
du,TMP Rules Text,Gain <sprite=35>.,Gain <sprite=35>.,
du,TMP Class Text,Transformed Lifebound Hero,Transformed Lifebound Hero,
du,TMP Title,<size=104>H</size>oniskrot Chieftan,<size=104>H</size>oniskrot Chieftan,
du,TMP Flavor Text,"""Do you smell that?""
""Yes... There's more prey to be hunted tonight.""","""Do you smell that?""
""Yes... There's more prey to be hunted tonight.""",
du,TMP Rules Text,Gain <sprite=33>,Gain <sprite=33>,
du,TMP Energize Text,<color=#005778ff>Energize <sprite=98>:</color> Transform this into Honiskrot Chieftan. <i>(Ignore the rest of the card's effect.),<color=#005778ff>Energize <sprite=98>:</color> Transform this into Honiskrot Chieftan. <i>(Ignore the rest of the card's effect.),
du,TMP Class Text,Lifebound Hero,Lifebound Hero,
du,TMP Title,<size=104>H</size>oniskrot Tribesman,<size=104>H</size>oniskrot Tribesman,
du,TMP Text,Transform Cards:,Transform Cards:,
du,TMP Body Text,"<margin-right=12em>Dark Energy Shards are a new type of Treasure card introduced in Ascension: Darkness Unleashed™.  Dark Energy Shards represent the fragments from Erabus’s crystal prison that absorbed bits of his power before he broke free.  Dark Energy Shards work just like the Energy Shards in Ascension: Rise of Vigil™, except they also have a Fate effect that allows each player to banish a card in their discard pile when they enter the center row.

","<margin-right=12em>Dark Energy Shards are a new type of Treasure card introduced in Ascension: Darkness Unleashed™.  Dark Energy Shards represent the fragments from Erabus’s crystal prison that absorbed bits of his power before he broke free.  Dark Energy Shards work just like the Energy Shards in Ascension: Rise of Vigil™, except they also have a Fate effect that allows each player to banish a card in their discard pile when they enter the center row.",
du,TMP Flavor Text,"A remnant of something long since forgotten, their appearance in Vigil is shrouded in mystery.","A remnant of something long since forgotten, their appearance in Vigil is shrouded in mystery.",
du,TMP Fate Text,<color=#fdc60eff>Fate:</color> each player may banish a card in their discard pile.,<color=#fdc60eff>Fate:</color> each player may banish a card in their discard pile.,
du,TMP Class Text,Treasure,Treasure,
du,TMP Title,<size=104>D</size>ark Energy Shard,<size=104>D</size>ark Energy Shard,
du,TMP Text,Dark Energy Shards:,Dark Energy Shards:,
du,TMP Text,What's New,What's New,
doc,TMP Body Text,"When the worlds were born, there were five gods, each endowed with a unique spark of creation. After they created Vigil, they squabbled over how to rule it, eventually retreating to realms of their  own design.  Centuries turned into millenia, and the gods were content with their realms and followers. All except one.

The Fallen God Samael's insatiable hunger led him and his plane of Deofol on a dark quest that would unite the realms against him.  After countless wars, he met his end at the hands of other gods and their allies.

Samael's death threw the universe into disarray, as dark forces sought to ascend Deofol's throne, thinking that it would lead to their own ascent to godhood.  One by one, the realms defeated the would-be conquerors, but the universe's need for a balanced pantheon could not be ignored.

What was once thought to be the result of centuries of struggle and conflict, Adayu's Unraveling was not the result of madness.  It was the inception of a new divine spark, awakening Adayu to a new destiny that awaits him.

The awakening of a new god unleashed a wave of energy across the realms, sending them colliding into each other to form a new unified world of New Vigil.  The factions have adapted well to the new world, learning to work together and develop new technologies that utilize their combined strengths.

The four factions' realms weren't the only ones to be merged into New Vigil.  Deofol has been woven into the new realm as well, corrupting heroes and twisting them into a dark army to serve the Cult's new leader, a shadowy figure from Vigil's past.

Hoping to avoid repeating history, Adayu and the other gods have retreated beyond New Vigil, leaving mortals to guide their own destiny.  One to be determined not by Gods, but by Champions.","When the worlds were born, there were five gods, each endowed with a unique spark of creation. After they created Vigil, they squabbled over how to rule it, eventually retreating to realms of their  own design.  Centuries turned into millenia, and the gods were content with their realms and followers. All except one.

The Fallen God Samael's insatiable hunger led him and his plane of Deofol on a dark quest that would unite the realms against him.  After countless wars, he met his end at the hands of other gods and their allies.

Samael's death threw the universe into disarray, as dark forces sought to ascend Deofol's throne, thinking that it would lead to their own ascent to godhood.  One by one, the realms defeated the would-be conquerors, but the universe's need for a balanced pantheon could not be ignored.

What was once thought to be the result of centuries of struggle and conflict, Adayu's Unraveling was not the result of madness.  It was the inception of a new divine spark, awakening Adayu to a new destiny that awaits him.

The awakening of a new god unleashed a wave of energy across the realms, sending them colliding into each other to form a new unified world of New Vigil.  The factions have adapted well to the new world, learning to work together and develop new technologies that utilize their combined strengths.

The four factions' realms weren't the only ones to be merged into New Vigil.  Deofol has been woven into the new realm as well, corrupting heroes and twisting them into a dark army to serve the Cult's new leader, a shadowy figure from Vigil's past.

Hoping to avoid repeating history, Adayu and the other gods have retreated beyond New Vigil, leaving mortals to guide their own destiny.  One to be determined not by Gods, but by Champions.",
doc,TMP Text,The Sun Rises On a New World...,The Sun Rises On a New World...,
doc,TMP Introduction Text,Introduction,Introduction,
doc,TMP Body Text,"<margin-right=12em>Many of the Monsters included in <i>Ascension: Dawn of Champions™</i>  have a faction. These Monsters represent corrupted denizens of New Vigil.

They work exactly like standard Monsters, but are affected by Rally effects, Reputation Powers, and other specific card effects.","<margin-right=12em>Many of the Monsters included in <i>Ascension: Dawn of Champions™</i>  have a faction. These Monsters represent corrupted denizens of New Vigil.

They work exactly like standard Monsters, but are affected by Rally effects, Reputation Powers, and other specific card effects.",
doc,TMP Flavor Text,"The dark beasts shriek through the night sky,
providing new nightmares for a new world.","The dark beasts shriek through the night sky,
providing new nightmares for a new world.",
doc,TMP Rules Text,Reward: Gain <sprite=68>. You may banish up to two cards from your hand or discard pile.,Reward: Gain <sprite=68>. You may banish up to two cards from your hand or discard pile.,
doc,TMP Class Text,Void Monster,Void Monster,
doc,TMP Title,<size=104>W</size>ild Riftdrake,<size=104>W</size>ild Riftdrake,1
doc,TMP Text,Faction Monsters,Faction Monsters,
doc,TMP Body Text,"<margin-right=12em>Continuing the popular multifaction mechanic from <i>Ascension: Realms Unraveled™</i>, multifaction Heroes make a reappearance in this set, along with the new multifaction Constructs.

Multifaction cards function exactly the same as their normal counterparts, but count as every faction listed on their card.
","<margin-right=12em>Continuing the popular multifaction mechanic from <i>Ascension: Realms Unraveled™</i>, multifaction Heroes make a reappearance in this set, along with the new multifaction Constructs.

Multifaction cards function exactly the same as their normal counterparts, but count as every faction listed on their card.",
doc,TMP Flavor Text,"Many of my brethren cling to life, forgetting
that it is only half of nature's cycle.""","Many of my brethren cling to life, forgetting
that it is only half of nature's cycle.""",
doc,TMP Rules Text,"Gain <sprite=34>.
If this is banished from your hand or disard pile, gain <sprite=69>.","Gain <sprite=34>.
If this is banished from your hand or disard pile, gain <sprite=69>.",
doc,TMP Class Text,Lifebound Void Hero,Lifebound Void Hero,
doc,TMP Title,<size=104>S</size>hepherd of the Lost,<size=104>S</size>hepherd of the Lost,1
doc,TMP Flavor Text,Who? What? Where? When? Why?,Who? What? Where? When? Why?,1
doc,TMP Rules Text,"Once per turn, when you play an Enlightened Construct or a Mechana Construct (including this one), draw a card.","Once per turn, when you play an Enlightened Construct or a Mechana Construct (including this one), draw a card.",1
doc,TMP Class Text,Enlightened Mechana Construct,Enlightened Mechana Construct,
doc,TMP Title,<size=104>L</size>ibrary Familiar,<size=104>L</size>ibrary Familiar,1
doc,TMP Text,Multifaction Heroes & Constructs,Multifaction Heroes & Constructs,
doc,TMP Body Text,"<margin-right=12em>Rally is a new keyword that triggers when a card in the center row is replaced. When an effect tells you to Rally, it will indicate a characteristic, such as faction, that allows you to acquire or defeat the next card that enters the center row if it has the indicated characteristic.

For instance, when a card tells you to Rally: Enlightened, if the next card to enter the center row is an Enlightened card, you may acquire or defeat it without paying its cost.

<i>Example: Undaunted Scout lets you Rally: Void when you acquire it from the center row. If the next card that enters that spot in the center row is a Void card, you may acquire it or defeat it without paying its cost.</i>

","<margin-right=12em>Rally is a new keyword that triggers when a card in the center row is replaced. When an effect tells you to Rally, it will indicate a characteristic, such as faction, that allows you to acquire or defeat the next card that enters the center row if it has the indicated characteristic.

For instance, when a card tells you to Rally: Enlightened, if the next card to enter the center row is an Enlightened card, you may acquire or defeat it without paying its cost.

<i>Example: Undaunted Scout lets you Rally: Void when you acquire it from the center row. If the next card that enters that spot in the center row is a Void card, you may acquire it or defeat it without paying its cost.</i>",
doc,TMP Flavor Text,This is the flavor part.,This is the flavor part.,
doc,TMP Rules Text,"When you acuire this, Rally: Void.

Gain <sprite=2>","When you acuire this, Rally: Void.

Gain <sprite=2>",
doc,TMP Class Text,Void Hero,Void Hero,
doc,TMP Title,<size=104>U</size>ndaunted Scout,<size=104>U</size>ndaunted Scout,
doc,TMP Text,Rally,Rally,
doc,TMP Text,"FLAVOR TEXT
Flavor text has no game effect.","FLAVOR TEXT
Flavor text has no game effect.",
doc,TMP Text,"REPUTATION POWERS
Ways to gain Reputation and rewards for reaching certain tresholds of Reputation.","REPUTATION POWERS
Ways to gain Reputation and rewards for reaching certain tresholds of Reputation.",
doc,TMP Text,NAME,NAME,
doc,TMP Flavor Text,"Chosen long ago by Logos to wield the Arhan god’s sight and wisdom, Dhartha has used it to aid the realms for generations. Small in stature, he proves that real power doesn’t come from standing over others, but by others kneeling before you.","Chosen long ago by Logos to wield the Arhan god’s sight and wisdom, Dhartha has used it to aid the realms for generations. Small in stature, he proves that real power doesn’t come from standing over others, but by others kneeling before you.",
doc,TMP Ability04Rules Text,"Whenever you acquire or defeat an Enlightened card in the center row, Rally: Enlightened.","Whenever you acquire or defeat an Enlightened card in the center row, Rally: Enlightened.",
doc,TMP Ability03Rules Text,"Acquire Dharta, Master of the Eye.","Acquire Dharta, Master of the Eye.",
doc,TMP Ability02Rules Text,"Once per turn, you may pay <sprite=34>  to gain <sprite=129>.","Once per turn, you may pay <sprite=34>  to gain <sprite=129>.",
