prefab,path,component
RulebookRotF,RulebookRotF/Scroll View/Viewport/Content/TMP Body Text/CardAskaraFate/Card_Bottom/TMP VP Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookRotF,RulebookRotF/Scroll View/Viewport/Content/TMP Body Text/CardAskaraFate/Card_Bottom/TMP Cardset Text,TMP Cardset Text
RulebookRotF,RulebookRotF/Scroll View/Viewport/Content/TMP Body Text/CardAskaraFate/Card_Bottom/TMP Cardset Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookRotF,RulebookRotF/Scroll View/Viewport/Content/TitleBar/TMP Text,TMP Text
RulebookRotF,RulebookRotF/Scroll View/Viewport/Content/TMP Body Text,TMP Body Text
RulebookSoS,RulebookSoS/Scroll View/Viewport/Content/WhatsNew,WhatsNew
RulebookSoS,RulebookSoS/Scroll View/Viewport/Content/WhatsNew/TMP Text,TMP Text
RulebookSoS,RulebookSoS/Scroll View/Viewport/Content/EventCards/TMP Text,TMP Text
RulebookSoS,RulebookSoS/Scroll View/Viewport/Content/TMP Body Text,TMP Body Text
RulebookSoS,RulebookSoS/Scroll View/Viewport/Content/TMP Body Text/E_VoidRising/Card_Art/TMP Title,TMP Title
RulebookSoS,RulebookSoS/Scroll View/Viewport/Content/TMP Body Text/E_VoidRising/Card_Art/TMP Class Text,TMP Class Text
RulebookSoS,RulebookSoS/Scroll View/Viewport/Content/TMP Body Text/E_VoidRising/Card_Art/RulesBase/TMP Rules Text,TMP Rules Text
RulebookSoS,RulebookSoS/Scroll View/Viewport/Content/TMP Body Text/E_VoidRising/Card_Art/RulesBase/TMP Rules Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookSoS,RulebookSoS/Scroll View/Viewport/Content/TrophyCards/TMP Text,TMP Text
RulebookSoS,RulebookSoS/Scroll View/Viewport/Content/TMP Body Text,TMP Body Text
RulebookSoS,RulebookSoS/Scroll View/Viewport/Content/TMP Body Text/CardHoardingTyrant/Card_M_Top/Cost_Power/TMP Cost,TMP Cost
RulebookSoS,RulebookSoS/Scroll View/Viewport/Content/TMP Body Text/CardHoardingTyrant/Card_M_Top/Title/TMP Title,TMP Title
RulebookSoS,RulebookSoS/Scroll View/Viewport/Content/TMP Body Text/CardHoardingTyrant/Card_M_Bottom/TMP Class Text,TMP Class Text
RulebookSoS,RulebookSoS/Scroll View/Viewport/Content/TMP Body Text/CardHoardingTyrant/Card_M_Bottom/Trophy Rules Area/TMP Rules Text,TMP Rules Text
RulebookSoS,RulebookSoS/Scroll View/Viewport/Content/TMP Body Text/CardHoardingTyrant/Card_M_Bottom/Trophy Rules Area/TMP Rules Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookSoS,RulebookSoS/Scroll View/Viewport/Content/TMP Body Text/CardHoardingTyrant/Card_M_Bottom/Trophy Rules Area/Trophy Box/TMP Trophy Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookSoS,RulebookSoS/Scroll View/Viewport/Content/TMP Body Text/CardHoardingTyrant/Card_M_Bottom/TMP Cardset Text,TMP Cardset Text
RulebookSoS,RulebookSoS/Scroll View/Viewport/Content/TMP Body Text/CardHoardingTyrant/Card_M_Bottom/TMP Cardset Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookSoS,RulebookSoS/Scroll View/Viewport/Content/Fanatic/TMP Text,TMP Text
RulebookSoS,RulebookSoS/Scroll View/Viewport/Content/TMP Body Text,TMP Body Text
RulebookSoS,RulebookSoS/Scroll View/Viewport/Content/TMP Body Text/CardFanatic/Card_M_Top/Cost_Power/TMP Cost,TMP Cost
RulebookSoS,RulebookSoS/Scroll View/Viewport/Content/TMP Body Text/CardFanatic/Card_M_Top/Title/TMP Title,TMP Title
RulebookSoS,RulebookSoS/Scroll View/Viewport/Content/TMP Body Text/CardFanatic/Card_M_Bottom/TMP Class Text,TMP Class Text
RulebookSoS,RulebookSoS/Scroll View/Viewport/Content/TMP Body Text/CardFanatic/Card_M_Bottom/Trophy Rules Area/TMP Rules Text,TMP Rules Text
RulebookSoS,RulebookSoS/Scroll View/Viewport/Content/TMP Body Text/CardFanatic/Card_M_Bottom/Trophy Rules Area/TMP Rules Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookSoS,RulebookSoS/Scroll View/Viewport/Content/TMP Body Text/CardFanatic/Card_M_Bottom/Trophy Rules Area/TMP Rules Text,TMP Rules Text
RulebookSoS,RulebookSoS/Scroll View/Viewport/Content/TMP Body Text/CardFanatic/Card_M_Bottom/Trophy Rules Area/TMP Rules Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookSoS,RulebookSoS/Scroll View/Viewport/Content/Destroy/TMP Text,TMP Text
RulebookSoS,RulebookSoS/Scroll View/Viewport/Content/TMP Body Text,TMP Body Text
RulebookSoS,RulebookSoS/Scroll View/Viewport/Content/TopArea/TMP Text,TMP Text
RulebookSoS,RulebookSoS/Scroll View/Viewport/Content/TopAreaCallouts/OpponentArea/TMP Text,TMP Text
RulebookSoS,RulebookSoS/Scroll View/Viewport/Content/TopAreaCallouts/RuneCardDeck/TMP Text,TMP Text
RulebookSoS,RulebookSoS/Scroll View/Viewport/Content/TopAreaCallouts/PowerCardDeck/TMP Text,TMP Text
RulebookSoS,RulebookSoS/Scroll View/Viewport/Content/TopAreaCallouts/Cultist/TMP Text,TMP Text
RulebookSoS,RulebookSoS/Scroll View/Viewport/Content/TopAreaCallouts/GlobalHonorPool/TMP Text,TMP Text
RulebookSoS,RulebookSoS/Scroll View/Viewport/Content/TopAreaCallouts/CenterRow/TMP Text,TMP Text
RulebookSoS,RulebookSoS/Scroll View/Viewport/Content/TopAreaCallouts/CenterRowDrawPile/TMP Text,TMP Text
RulebookSoS,RulebookSoS/Scroll View/Viewport/Content/TopAreaCallouts/CenterRowDrawPile/TMP Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookSoS,RulebookSoS/Scroll View/Viewport/Content/TopAreaCallouts/RlayersRunes/TMP Text,TMP Text
RulebookSoS,RulebookSoS/Scroll View/Viewport/Content/TopAreaCallouts/RlayersPower/TMP Text,TMP Text
RulebookSoS,RulebookSoS/Scroll View/Viewport/Content/TopAreaCallouts/Void/TMP Text,TMP Text
RulebookSoS,RulebookSoS/Scroll View/Viewport/Content/TopAreaCallouts/Fanatic/TMP Text,TMP Text
RulebookSoS,RulebookSoS/Scroll View/Viewport/Content/TopAreaCallouts/EventZone/TMP Text,TMP Text
RulebookSoS,RulebookSoS/Scroll View/Viewport/Content/TitleBar/TMP Text,TMP Text
RulebookSoS,RulebookSoS/Scroll View/Viewport/Content/TMP Body Text,TMP Body Text
RulebookIH,RulebookIH/Scroll View/Viewport/Content/TitleBar/TMP Text,TMP Text
RulebookIH,RulebookIH/Scroll View/Viewport/Content/SoulGems/TMP Text,TMP Text
RulebookIH,RulebookIH/Scroll View/Viewport/Content/TMP Body Text,TMP Body Text
RulebookIH,RulebookIH/Scroll View/Viewport/Content/TMP Body Text/CardSoulGem/Base/Title/TMP Title,TMP Title
RulebookIH,RulebookIH/Scroll View/Viewport/Content/TMP Body Text/CardSoulGem/Base/Card_Bottom/TMP Class Text,TMP Class Text
RulebookIH,RulebookIH/Scroll View/Viewport/Content/TMP Body Text/CardSoulGem/Base/Card_Bottom/TMP Rules Text,TMP Rules Text
RulebookIH,RulebookIH/Scroll View/Viewport/Content/TMP Body Text/CardSoulGem/Base/Card_Bottom/TMP Rules Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookIH,RulebookIH/Scroll View/Viewport/Content/TMP Body Text/CardSoulGem/Base/Card_Bottom/TMP Flavor Text,TMP Flavor Text
RulebookIH,RulebookIH/Scroll View/Viewport/Content/TMP Body Text/CardSoulGem/Base/Card_Bottom/TMP Cardset Text,TMP Cardset Text
RulebookIH,RulebookIH/Scroll View/Viewport/Content/TMP Body Text/CardSoulGem/Base/Card_Bottom/TMP Cardset Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookIH,RulebookIH/Scroll View/Viewport/Content/TrophyMonsters:/TMP Text,TMP Text
RulebookIH,RulebookIH/Scroll View/Viewport/Content/TMP Body Text,TMP Body Text
RulebookIH,RulebookIH/Scroll View/Viewport/Content/TMP Body Text/MonsterTrophy/Card_M_Top/Cost_Power/TMP Cost,TMP Cost
RulebookIH,RulebookIH/Scroll View/Viewport/Content/TMP Body Text/MonsterTrophy/Card_M_Top/Title/TMP Title,TMP Title
RulebookIH,RulebookIH/Scroll View/Viewport/Content/TMP Body Text/MonsterTrophy/Card_M_Bottom/TMP Class Text,TMP Class Text
RulebookIH,RulebookIH/Scroll View/Viewport/Content/TMP Body Text/MonsterTrophy/Card_M_Bottom/Trophy Rules Area/TMP Rules Text,TMP Rules Text
RulebookIH,RulebookIH/Scroll View/Viewport/Content/TMP Body Text/MonsterTrophy/Card_M_Bottom/Trophy Rules Area/TMP Rules Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookIH,RulebookIH/Scroll View/Viewport/Content/TMP Body Text/MonsterTrophy/Card_M_Bottom/Trophy Rules Area/Trophy Box/TMP Trophy Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookIH,RulebookIH/Scroll View/Viewport/Content/TMP Body Text/MonsterTrophy/Card_M_Bottom/TMP Cardset Text,TMP Cardset Text
RulebookIH,RulebookIH/Scroll View/Viewport/Content/TMP Body Text/MonsterTrophy/Card_M_Bottom/TMP Cardset Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookIH,RulebookIH/Scroll View/Viewport/Content/TitleBar/TMP Text,TMP Text
RulebookIH,RulebookIH/Scroll View/Viewport/Content/TMP Body Text,TMP Body Text
RulebookRoV,RulebookRoV/Scroll View/Viewport/Content/WhatsNew,WhatsNew
RulebookRoV,RulebookRoV/Scroll View/Viewport/Content/WhatsNew/TitleBar/TMP Text,TMP Text
RulebookRoV,RulebookRoV/Scroll View/Viewport/Content/Treasure/TMP Text,TMP Text
RulebookRoV,RulebookRoV/Scroll View/Viewport/Content/TMP Body Text,TMP Body Text
RulebookRoV,RulebookRoV/Scroll View/Viewport/Content/TMP Body Text/CardEnergyShard/Base/TMP Title,TMP Title
RulebookRoV,RulebookRoV/Scroll View/Viewport/Content/TMP Body Text/CardEnergyShard/Base/Card_Bottom/TMP Class Text,TMP Class Text
RulebookRoV,RulebookRoV/Scroll View/Viewport/Content/TMP Body Text/CardEnergyShard/Base/Card_Bottom/Card_Energize/TMP Cost,TMP Cost
RulebookRoV,RulebookRoV/Scroll View/Viewport/Content/TMP Body Text/CardEnergyShard/Base/Card_Bottom/Card_Cards/TMP Cost,TMP Cost
RulebookRoV,RulebookRoV/Scroll View/Viewport/Content/TMP Body Text/CardEnergyShard/Base/Card_Bottom/TMP Flavor Text,TMP Flavor Text
RulebookRoV,RulebookRoV/Scroll View/Viewport/Content/TMP Body Text/CardEnergyShard/Base/Card_Bottom/TMP VP Text,TMP VP Text
RulebookRoV,RulebookRoV/Scroll View/Viewport/Content/TMP Body Text/CardEnergyShard/Base/Card_Bottom/TMP VP Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookRoV,RulebookRoV/Scroll View/Viewport/Content/TMP Body Text/CardEnergyShard/Base/Card_Bottom/TMP Cardset Text,TMP Cardset Text
RulebookRoV,RulebookRoV/Scroll View/Viewport/Content/TMP Body Text/CardEnergyShard/Base/Card_Bottom/TMP Cardset Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookRoV,RulebookRoV/Scroll View/Viewport/Content/Energize/TMP Text,TMP Text
RulebookRoV,RulebookRoV/Scroll View/Viewport/Content/TMP Body Text,TMP Body Text
RulebookRoV,RulebookRoV/Scroll View/Viewport/Content/TMP Body Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookRoV,RulebookRoV/Scroll View/Viewport/Content/TMP Body Text/CardDarkwalker/Card_Top/Cost_Rune/TMP Cost,TMP Cost
RulebookRoV,RulebookRoV/Scroll View/Viewport/Content/TMP Body Text/CardDarkwalker/Card_Top/Title/TMP Title,TMP Title
RulebookRoV,RulebookRoV/Scroll View/Viewport/Content/TMP Body Text/CardDarkwalker/Card_Bottom/TMP Class Text,TMP Class Text
RulebookRoV,RulebookRoV/Scroll View/Viewport/Content/TMP Body Text/CardDarkwalker/Card_Bottom/Energize Rules Area/TMP Rules Text,TMP Rules Text
RulebookRoV,RulebookRoV/Scroll View/Viewport/Content/TMP Body Text/CardDarkwalker/Card_Bottom/Energize Rules Area/TMP Rules Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookRoV,RulebookRoV/Scroll View/Viewport/Content/TMP Body Text/CardDarkwalker/Card_Bottom/Energize Rules Area/Energize Box/TMP Energize Text,TMP Energize Text
RulebookRoV,RulebookRoV/Scroll View/Viewport/Content/TMP Body Text/CardDarkwalker/Card_Bottom/Energize Rules Area/Energize Box/TMP Energize Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookRoV,RulebookRoV/Scroll View/Viewport/Content/TMP Body Text/CardDarkwalker/Card_Bottom/TMP VP Text,TMP VP Text
RulebookRoV,RulebookRoV/Scroll View/Viewport/Content/TMP Body Text/CardDarkwalker/Card_Bottom/TMP VP Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookRoV,RulebookRoV/Scroll View/Viewport/Content/TMP Body Text/CardDarkwalker/Card_Bottom/TMP Cardset Text,TMP Cardset Text
RulebookRoV,RulebookRoV/Scroll View/Viewport/Content/TMP Body Text/CardDarkwalker/Card_Bottom/TMP Cardset Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookRoV,RulebookRoV/Scroll View/Viewport/Content/TopArea/TitleBar/TMP Text,TMP Text
RulebookRoV,RulebookRoV/Scroll View/Viewport/Content/TopAreaCallouts/RlayersRunes/TMP Text,TMP Text
RulebookRoV,RulebookRoV/Scroll View/Viewport/Content/TopAreaCallouts/RlayersPower/TMP Text,TMP Text
RulebookRoV,RulebookRoV/Scroll View/Viewport/Content/TopAreaCallouts/Void/TMP Text,TMP Text
RulebookRoV,RulebookRoV/Scroll View/Viewport/Content/TopAreaCallouts/TreasureCard/TMP Text,TMP Text
RulebookRoV,RulebookRoV/Scroll View/Viewport/Content/TopAreaCallouts/TreasureCount/TMP Text,TMP Text
RulebookRoV,RulebookRoV/Scroll View/Viewport/Content/TopAreaCallouts/TreasureCount/TMP Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookRoV,RulebookRoV/Scroll View/Viewport/Content/TopAreaCallouts/GlobalHonorPool/TMP Text,TMP Text
RulebookRoV,RulebookRoV/Scroll View/Viewport/Content/TopAreaCallouts/CenterRow/TMP Text,TMP Text
RulebookRoV,RulebookRoV/Scroll View/Viewport/Content/TopAreaCallouts/Energize/TMP Text,TMP Text
RulebookRoV,RulebookRoV/Scroll View/Viewport/Content/Introduction/TitleBar/TMP Text,TMP Text
RulebookRoV,RulebookRoV/Scroll View/Viewport/Content/TMP Body Text,TMP Body Text
RulebookDU,RulebookDU/Scroll View/Viewport/Content/WhatsNew,WhatsNew
RulebookDU,RulebookDU/Scroll View/Viewport/Content/WhatsNew/Glow/TMP Text,TMP Text
RulebookDU,RulebookDU/Scroll View/Viewport/Content/DarkEnergyShards/TMP Text,TMP Text
RulebookDU,RulebookDU/Scroll View/Viewport/Content/TMP Body Text,TMP Body Text
RulebookDU,RulebookDU/Scroll View/Viewport/Content/TMP Body Text/CardDarkEnergyShard/Base/TMP Title,TMP Title
RulebookDU,RulebookDU/Scroll View/Viewport/Content/TMP Body Text/CardDarkEnergyShard/Base/Card_Bottom/TMP Class Text,TMP Class Text
RulebookDU,RulebookDU/Scroll View/Viewport/Content/TMP Body Text/CardDarkEnergyShard/Base/Card_Bottom/TMP Fate Text,TMP Fate Text
RulebookDU,RulebookDU/Scroll View/Viewport/Content/TMP Body Text/CardDarkEnergyShard/Base/Card_Bottom/Card_Energize/TMP Cost,TMP Cost
RulebookDU,RulebookDU/Scroll View/Viewport/Content/TMP Body Text/CardDarkEnergyShard/Base/Card_Bottom/Card_Cards/TMP Cost,TMP Cost
RulebookDU,RulebookDU/Scroll View/Viewport/Content/TMP Body Text/CardDarkEnergyShard/Base/Card_Bottom/TMP Flavor Text,TMP Flavor Text
RulebookDU,RulebookDU/Scroll View/Viewport/Content/TMP Body Text/CardDarkEnergyShard/Base/Card_Bottom/TMP VP Text,TMP VP Text
RulebookDU,RulebookDU/Scroll View/Viewport/Content/TMP Body Text/CardDarkEnergyShard/Base/Card_Bottom/TMP VP Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookDU,RulebookDU/Scroll View/Viewport/Content/TMP Body Text/CardDarkEnergyShard/Base/Card_Bottom/TMP Cardset Text,TMP Cardset Text
RulebookDU,RulebookDU/Scroll View/Viewport/Content/TMP Body Text/CardDarkEnergyShard/Base/Card_Bottom/TMP Cardset Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookDU,RulebookDU/Scroll View/Viewport/Content/TransformCards/TMP Text,TMP Text
RulebookDU,RulebookDU/Scroll View/Viewport/Content/TMP Body Text,TMP Body Text
RulebookDU,RulebookDU/Scroll View/Viewport/Content/TMP Body Text/CardTransform/CardTribesman/Card_Top/Cost_Rune/TMP Cost,TMP Cost
RulebookDU,RulebookDU/Scroll View/Viewport/Content/TMP Body Text/CardTransform/CardTribesman/Card_Top/Title/TMP Title,TMP Title
RulebookDU,RulebookDU/Scroll View/Viewport/Content/TMP Body Text/CardTransform/CardTribesman/Card_Bottom/TMP Class Text,TMP Class Text
RulebookDU,RulebookDU/Scroll View/Viewport/Content/TMP Body Text/CardTransform/CardTribesman/Card_Bottom/Energize Rules Area/Energize Box/TMP Energize Text,TMP Energize Text
RulebookDU,RulebookDU/Scroll View/Viewport/Content/TMP Body Text/CardTransform/CardTribesman/Card_Bottom/Energize Rules Area/Energize Box/TMP Energize Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookDU,RulebookDU/Scroll View/Viewport/Content/TMP Body Text/CardTransform/CardTribesman/Card_Bottom/Energize Rules Area/TMP Rules Text,TMP Rules Text
RulebookDU,RulebookDU/Scroll View/Viewport/Content/TMP Body Text/CardTransform/CardTribesman/Card_Bottom/Energize Rules Area/TMP Rules Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookDU,RulebookDU/Scroll View/Viewport/Content/TMP Body Text/CardTransform/CardTribesman/Card_Bottom/TMP Flavor Text,TMP Flavor Text
RulebookDU,RulebookDU/Scroll View/Viewport/Content/TMP Body Text/CardTransform/CardTribesman/Card_Bottom/TMP VP Text,TMP VP Text
RulebookDU,RulebookDU/Scroll View/Viewport/Content/TMP Body Text/CardTransform/CardTribesman/Card_Bottom/TMP VP Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookDU,RulebookDU/Scroll View/Viewport/Content/TMP Body Text/CardTransform/CardTribesman/Card_Bottom/TMP Cardset Text,TMP Cardset Text
RulebookDU,RulebookDU/Scroll View/Viewport/Content/TMP Body Text/CardTransform/CardTribesman/Card_Bottom/TMP Cardset Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookDU,RulebookDU/Scroll View/Viewport/Content/TMP Body Text/CardTransform/CardChieftan/Card_Top/Cost_Rune/TMP Cost,TMP Cost
RulebookDU,RulebookDU/Scroll View/Viewport/Content/TMP Body Text/CardTransform/CardChieftan/Card_Top/Title/TMP Title,TMP Title
RulebookDU,RulebookDU/Scroll View/Viewport/Content/TMP Body Text/CardTransform/CardChieftan/Card_Bottom/TMP Class Text,TMP Class Text
RulebookDU,RulebookDU/Scroll View/Viewport/Content/TMP Body Text/CardTransform/CardChieftan/Card_Bottom/TMP Rules Text,TMP Rules Text
RulebookDU,RulebookDU/Scroll View/Viewport/Content/TMP Body Text/CardTransform/CardChieftan/Card_Bottom/TMP Rules Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookDU,RulebookDU/Scroll View/Viewport/Content/TMP Body Text/CardTransform/CardChieftan/Card_Bottom/TMP Flavor Text,TMP Flavor Text
RulebookDU,RulebookDU/Scroll View/Viewport/Content/TMP Body Text/CardTransform/CardChieftan/Card_Bottom/TMP VP Text,TMP VP Text
RulebookDU,RulebookDU/Scroll View/Viewport/Content/TMP Body Text/CardTransform/CardChieftan/Card_Bottom/TMP VP Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookDU,RulebookDU/Scroll View/Viewport/Content/TMP Body Text/CardTransform/CardChieftan/Card_Bottom/TMP Cardset Text,TMP Cardset Text
RulebookDU,RulebookDU/Scroll View/Viewport/Content/TMP Body Text/CardTransform/CardChieftan/Card_Bottom/TMP Cardset Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookDU,RulebookDU/Scroll View/Viewport/Content/TMP Body Text,TMP Body Text
RulebookDU,RulebookDU/Scroll View/Viewport/Content/Introduction/Glow/TMP Text,TMP Text
RulebookDU,RulebookDU/Scroll View/Viewport/Content/TMP Body Text,TMP Body Text
RulebookDoC,RulebookDoC/Scroll View/Viewport/Content/ChampionsReputation/TMP Text,TMP Text
RulebookDoC,RulebookDoC/Scroll View/Viewport/Content/TMP Body Text,TMP Body Text
RulebookDoC,RulebookDoC/Scroll View/Viewport/Content/TMP Body Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookDoC,RulebookDoC/Scroll View/Viewport/Content/ChampionCard/TMP Text,TMP Text
RulebookDoC,RulebookDoC/Scroll View/Viewport/Content/ChampionCardCallout/TMP Body Text,TMP Body Text
RulebookDoC,RulebookDoC/Scroll View/Viewport/Content/ChampionCardCallout/TMP Body Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookDoC,RulebookDoC/Scroll View/Viewport/Content/ChampionCardCallout/TMP Body Text/CardChampion/TMP Title,TMP Title
RulebookDoC,RulebookDoC/Scroll View/Viewport/Content/ChampionCardCallout/TMP Body Text/CardChampion/TMP Class Text,TMP Class Text
RulebookDoC,RulebookDoC/Scroll View/Viewport/Content/ChampionCardCallout/TMP Body Text/CardChampion/TMP Ability01 Text,TMP Ability01 Text
RulebookDoC,RulebookDoC/Scroll View/Viewport/Content/ChampionCardCallout/TMP Body Text/CardChampion/TMP Ability01Rules Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookDoC,RulebookDoC/Scroll View/Viewport/Content/ChampionCardCallout/TMP Body Text/CardChampion/TMP Ability02 Text,TMP Ability02 Text
RulebookDoC,RulebookDoC/Scroll View/Viewport/Content/ChampionCardCallout/TMP Body Text/CardChampion/TMP Ability02Rules Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookDoC,RulebookDoC/Scroll View/Viewport/Content/ChampionCardCallout/TMP Body Text/CardChampion/TMP Ability03 Text,TMP Ability03 Text
RulebookDoC,RulebookDoC/Scroll View/Viewport/Content/ChampionCardCallout/TMP Body Text/CardChampion/TMP Ability03Rules Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookDoC,RulebookDoC/Scroll View/Viewport/Content/ChampionCardCallout/TMP Body Text/CardChampion/TMP Ability04 Text,TMP Ability04 Text
RulebookDoC,RulebookDoC/Scroll View/Viewport/Content/ChampionCardCallout/TMP Body Text/CardChampion/TMP Ability04Rules Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookDoC,RulebookDoC/Scroll View/Viewport/Content/ChampionCardCallout/TMP Body Text/CardChampion/TMP Flavor Text,TMP Flavor Text
RulebookDoC,RulebookDoC/Scroll View/Viewport/Content/ChampionCardCallout/TMP Body Text/Name/TMP Text,TMP Text
RulebookDoC,RulebookDoC/Scroll View/Viewport/Content/ChampionCardCallout/TMP Body Text/Effect/TMP Text,TMP Text
RulebookDoC,RulebookDoC/Scroll View/Viewport/Content/ChampionCardCallout/TMP Body Text/Flavor Text/TMP Text,TMP Text
RulebookDoC,RulebookDoC/Scroll View/Viewport/Content/Rally/TMP Text,TMP Text
RulebookDoC,RulebookDoC/Scroll View/Viewport/Content/TMP Body Text,TMP Body Text
RulebookDoC,RulebookDoC/Scroll View/Viewport/Content/TMP Body Text/CardUndauntedScout/Card_Top/Cost_Rune/TMP Cost,TMP Cost
RulebookDoC,RulebookDoC/Scroll View/Viewport/Content/TMP Body Text/CardUndauntedScout/Card_Top/Title/TMP Title,TMP Title
RulebookDoC,RulebookDoC/Scroll View/Viewport/Content/TMP Body Text/CardUndauntedScout/Card_Bottom/TMP Class Text,TMP Class Text
RulebookDoC,RulebookDoC/Scroll View/Viewport/Content/TMP Body Text/CardUndauntedScout/Card_Bottom/TMP Rules Text,TMP Rules Text
RulebookDoC,RulebookDoC/Scroll View/Viewport/Content/TMP Body Text/CardUndauntedScout/Card_Bottom/TMP Rules Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookDoC,RulebookDoC/Scroll View/Viewport/Content/TMP Body Text/CardUndauntedScout/Card_Bottom/TMP Flavor Text,TMP Flavor Text
RulebookDoC,RulebookDoC/Scroll View/Viewport/Content/TMP Body Text/CardUndauntedScout/Card_Bottom/TMP VP Text,TMP VP Text
RulebookDoC,RulebookDoC/Scroll View/Viewport/Content/TMP Body Text/CardUndauntedScout/Card_Bottom/TMP VP Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookDoC,RulebookDoC/Scroll View/Viewport/Content/TMP Body Text/CardUndauntedScout/Card_Bottom/TMP Cardset Text,TMP Cardset Text
RulebookDoC,RulebookDoC/Scroll View/Viewport/Content/TMP Body Text/CardUndauntedScout/Card_Bottom/TMP Cardset Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookDoC,RulebookDoC/Scroll View/Viewport/Content/MultifactionHeroesConstructs/TMP Text,TMP Text
RulebookDoC,RulebookDoC/Scroll View/Viewport/Content/Text/Cards/CardLibraryFamiliar/Card_Top/Cost_Rune/TMP Cost,TMP Cost
RulebookDoC,RulebookDoC/Scroll View/Viewport/Content/Text/Cards/CardLibraryFamiliar/Card_Top/Title/TMP Title,TMP Title
