id,card_set,display_name,effect_text,flavor_text,source
Invokist,Dlvr,Invokist,"PHANTASM - While this is 在中央牌列,",,draft
Nihil Bomber,Dlvr,Nihil Bomber,抽一张牌.,,draft
"Naka, Emri's Chosen",Dlvr,"Naka, Emri's Chosen","获得4战力.
",,draft
"Emri, Soulstealer",Dlvr,"Emri, Soulstealer","获得5战力. If there are 10 或更高 Monsters in the 虚空区, 获得10战力 instead",,draft
Zinta's Bracers,Dlvr,Zinta's Bracers,"每回合一次，if you have gained 2洞察 或更高, 获得2战力.",,draft
Nightmarauders,Dlvr,Nightmarauders,奖励：获得1荣誉 and 1洞察.,,draft
Terminites,Dlvr,Terminites,奖励：获得3荣誉. ,,draft
Warpdruid,Dlvr,Warpdruid,奖励：获得2荣誉. ,,draft
Dreadmage,Dlvr,Dreadmage,奖励：获得2荣誉 and 抽两张牌. ,,draft
Warprogue,Dlvr,Warprogue,奖励：获得3荣誉.,,draft
Dream Titan,Dlvr,Dream Titan,奖励：获得6荣誉.,,draft
Obfusca Spirit,Dlvr,Obfusca Spirit,奖励：获得4荣誉. ,,draft
Dream Tyrant,Dlvr,Dream Tyrant,奖励：获得5荣誉 and 5洞察.,,draft
River Reaper,Dlvr,River Reaper,奖励：获得6荣誉.,,draft
"Caaro, Desert Breaker",Dlvr,"Caaro, Desert Breaker",奖励：获得4荣誉.,,draft
"Nilia, The Shattered",Dlvr,"Nilia, The Shattered",奖励：获得5荣誉.,,draft
"Rakar, Corrupt Askara",Dlvr,"Rakar, Corrupt Askara",奖励：获得6荣誉. ,,draft
"Vezra'Tull, The Voidwyrm",promo,"Vezra'Tull, The Voidwyrm","你可以spend P instead of H to acquire this.
",,draft
Boon: Master Dhartha,LGND,Boon: Master Dhartha,"Once 本回合, 抽一张牌.",,draft
Boon - Master Dhartha,LGND,Boon: Master Dhartha,"Once 本回合, 抽一张牌.",,draft
Boon - Ulu,LGND,Boon: Ulu,"Once 本回合, 获得1 renown in another faction.",,draft
Legendary Boon - Enlightened,LGND,Legendary Boon: Enlightened,获取 or defeat any 启迪 卡牌 from the 中央牌列 无需支付费用.,,draft
Boon: Cetra,LGND,Boon: Cetra,"Once 本回合, 你可以put a 英雄 from your 弃牌堆 放到你的牌库顶.",,draft
Boon - Cetra,LGND,Boon: Cetra,"Once 本回合, 你可以put a 英雄 from your 弃牌堆 放到你的牌库顶.",,draft
Boon - Naira,LGND,Boon: Naira,"Once 本回合, 获得2荣誉.",,draft
Legendary Boon - Lifebound,LGND,Legendary Boon: Lifebound,获取 or defeat any 生命 卡牌 from the 中央牌列 无需支付费用.,,draft
Boon: Kor,LGND,Boon: Kor,"Once 本回合, 获得2符文.",,draft
Boon - Kor,LGND,Boon: Kor,"Once 本回合, 获得2符文.",,draft
Boon - P.R.I.M.E.,LGND,Boon: P.R.I.M.E.,"Once 本回合, 你可以return a 神器 from your 弃牌堆 to your 手牌.",,draft
Legendary Boon - Mechana,LGND,Legendary Boon: Mechana,获取 or defeat any 机械 卡牌 from the 中央牌列 无需支付费用.,,draft
Boon: Naka,LGND,Boon: Naka,"Once 本回合, 你可以banish a 卡牌 you played 本回合.",,draft
Boon - Naka,LGND,Boon: Naka,"Once 本回合, 你可以banish a 卡牌 you played 本回合.",,draft
Boon - Emri,LGND,Boon: Emri,"Once 本回合, 获得2战力.",,draft
Legendary Boon - Void,LGND,Legendary Boon: Void,获取 or defeat any 虚空区 卡牌 from the 中央牌列 无需支付费用.,,draft
Arha Recruit,LGND,Arha Recruit,"抽一张牌.
",,draft
Askara of Judgement,LGND,Askara of Judgement,抽一张牌.,,draft
Pathseeker Sensei,LGND,Pathseeker Sensei,击败一个monster of 4战力 或更低 无需支付费用.,,draft
Arha Emissary,LGND,Arha Emissary,"抽一张牌.
",,draft
Mountain Seer,LGND,Mountain Seer,"抽一张牌, then banish a 卡牌 in the 中央牌列.",,draft
Master Vaya,LGND,Master Vaya,抽两张牌.,,draft
Tablet of the Templar,LGND,Tablet of the Templar,你可以destroy this to defeat a 怪物 of cost 4战力 或更低 无需支付费用.,,draft
Mycelial Mage,LGND,Mycelial Mage,"抽一张牌.
",,draft
Mushroom Druid,LGND,Mushroom Druid,获得3荣誉.,,draft
Lycan Fang,LGND,Lycan Fang,获得2符文.,,draft
Forest Emissary,LGND,Forest Emissary,"抽一张牌.
",,draft
Snowstrider Lycan,LGND,Snowstrider Lycan,"获得1符文, 1荣誉, 1战力, and 抽一张牌.",,draft
Turtler Merchant,LGND,Turtler Merchant,"获得5荣誉.
",,draft
Landis' Potions & Pies,LGND,Landis' Potions & Pies,"每回合一次，获得1荣誉.
",,draft
Sablespark Sisters,LGND,Sablespark Sisters,"抽一张牌.
",,draft
Mecha Emissary,LGND,Mecha Emissary,"抽一张牌.
",,draft
The Dreamscrape,LGND,The Dreamscrape,每回合一次，你可以destroy another one of your 机械神器s to 获得2符文.,,draft
Korpse Maker,LGND,Korpse Maker,"每回合一次，when you 打出 a 机械神器 (including this one), 获得2战力.",,draft
Mechannihilator,LGND,Mechannihilator,每回合一次，你可以destroy another one of your 机械神器s to 获得3战力.,,draft
Ironheart Engine,LGND,Ironheart Engine,"每回合一次，when you 打出 a 机械神器 (including this one), 获得3符文.",,draft
Mechaphoenix,LGND,Mechaphoenix,"每回合一次，when you 打出 a 机械神器 (including this one),",,draft
Bombcrafter,LGND,Bombcrafter,"抽一张牌.
",,draft
Shade Feather,LGND,Shade Feather,获得1战力.,,draft
Void Emissary,LGND,Void Emissary,"抽一张牌.
",,draft
Shadow Mender,LGND,Shadow Mender,获得3战力.,,draft
Shadow Arbiter,LGND,Shadow Arbiter,抽一张牌.,,draft
"Raiyna, Riftwalker",LGND,"Raiyna, Riftwalker","获得4战力.
",,draft
Riftclaw,LGND,Riftclaw,每回合一次，获得1战力.,,draft
Claws of Deoful,LGND,Claws of Deoful,"奖励：获得4荣誉.
",,draft
Hurricane Warlock,LGND,Hurricane Warlock,奖励：获得2荣誉.,,draft
Correction of Creation,LGND,Correction of Creation,奖励：获得2荣誉.,,draft
The Iron Seven,LGND,The Iron Seven,奖励：获得3荣誉.,,draft
Hellstring Blades,LGND,Hellstring Blades,奖励：获得5荣誉.,,draft
MarrowWyrm Rider,LGND,MarrowWyrm Rider,奖励：获得3荣誉.,,draft
Muse of Malevolence,LGND,Muse of Malevolence,奖励：获得5荣誉.,,draft
Lifebound Remnant,LGND,Lifebound Remnant,"奖励：获得3荣誉.
",,draft
Enlightened Remnant,LGND,Enlightened Remnant,"奖励：获得5荣誉.
",,draft
Mechana Remnant,LGND,Mechana Remnant,"奖励：获得4荣誉.
",,draft
Void Remnant,LGND,Void Remnant,"奖励：获得4荣誉.
",,draft
Remnant of the Fallen,LGND,Remnant of the Fallen,"奖励：获得5荣誉.
",,draft
Monk of the Stone Circle,LGND,Monk of the Stone Circle,获取一个英雄 with cost 3符文 或更低 and put it into your 手牌.,,draft
Psychic Amulet,LGND,Psychic Amulet,"每回合一次，when you 打出 a 机械 or 启迪 神器 (including this one), 抽一张牌.",,draft
Psionic Monk,LGND,Psionic Monk,"抽 2 cards.
",,draft
Portal Ninja,LGND,Portal Ninja,"获得2符文.
",,draft
Fallen Fae,LGND,Fallen Fae,"获得2战力.
",,draft
Dark Monk,LGND,Dark Monk,"获得2战力.
",,draft
Shade Askara,LGND,Shade Askara,"获得3战力.
",,draft
The Chrome Circle,LGND,The Chrome Circle,"每回合一次，when you 打出 a 机械 or 生命 神器 (including this one), 获得1符文 and 1荣誉.",,draft
Mecha Cetra,LGND,Mecha Cetra,你可以acquire a 英雄 or 神器 from the 中央牌列,,draft
Legend - Master Dhartha,LGND,Legend: Master Dhartha,"Once 本回合, 抽一张牌.",,draft
Legend - Ulu,LGND,Legend: Ulu,"Once 本回合, 获得1 renown in another faction.",,draft
Legend - Cetra,LGND,Legend: Cetra,"Once 本回合, 你可以put a 英雄 from your 弃牌堆 放到你的牌库顶.",,draft
Legend - Naira,LGND,Legend: Naira,"Once 本回合, 获得2荣誉.",,draft
Legend - Kor,LGND,Legend: Kor,"Once 本回合, 获得2符文.",,draft
Legend - P.R.I.M.E.,LGND,Legend: P.R.I.M.E.,"Once 本回合, 你可以return a 神器 from your 弃牌堆 to your 手牌.",,draft
Legend - Naka,LGND,Legend: Naka,"Once 本回合, 你可以banish a 卡牌 you played 本回合.",,draft
Legend - Emri,LGND,Legend: Emri,"Once 本回合, 获得2战力.",,draft
Militia 10TH,,民兵,获得1战力。,,official-anshashen+variant
Apprentice 10TH,,学徒,获得1符文。,,official-anshashen+variant
Mystic 10TH,,秘教士,获得2符文。,,official-anshashen+variant
Heavy Infantry 10TH,,重装步兵,获得2战力。,,official-anshashen+variant
Cultist 10TH,,邪教徒,奖励：获得1荣誉。,,official-anshashen+variant
Arha Initiate 10TH,CotG10,亚哈新兵,抽一张牌。,,official-anshashen+variant
Arha Templar 10TH,CotG10,亚哈圣殿武士,击败一个战力值不高于4的怪物。,,official-anshashen+variant
Ascetic of the Lidless Eye 10TH,CotG10,无目之眼苦行僧,抽两张牌。,,official-anshashen+variant
Master Dhartha 10TH,CotG10,达萨大师,抽三张牌。,,official-anshashen+variant
Oziah the Peerless 10TH,CotG10,无双的奥齐亚,击败一个战力值不高于6的怪物。,,community+variant
Seer of the Forked Path 10TH,CotG10,歧路预言者,抽一张牌。你可以放逐一张手牌。,,community+variant
Tablet of Time's Dawn 10TH,CotG10,时晓石板,放逐此神器，然后在本回合后再进行一个额外回合。,,community+variant
Temple Librarian 10TH,CotG10,神殿图书管理员,弃一张牌。若你如此做，抽两张牌。,,official-anshashen+variant
The All-Seeing Eye 10TH,CotG10,全视之眼,每回合一次，你可以抽一张牌。,,community+variant
Twofold Askara 10TH,CotG10,双重阿斯卡拉,复制本回合打出的一张英雄的效果。,,community+variant
"Cetra, Weaver of Stars 10TH",CotG10,织星者塞特拉,获取任意一个英雄。将其放到你的牌库顶。,,community+variant
Druids of the Stone Circle 10TH,CotG10,石环德鲁伊,无需支付费用获取一个费用不高于3符文的英雄。将其放到你的牌库顶。,,official-anshashen+variant
Flytrap Witch 10TH,CotG10,捕蝇草女巫,获得2荣誉。抽一张牌。,,official-anshashen+variant
Landtalker 10TH,CotG10,大地说书人,获得3符文。,,official-anshashen+variant
Lifebound Initiate 10TH,CotG10,生命新兵,获得1符文和1荣誉。,,official-anshashen+variant
Runic Lycanthrope 10TH,CotG10,符文狼化人,获得2符文。若你本回合打出过生命英雄，获得2战力。,,official-anshashen+variant
Snapdragon 10TH,CotG10,金鱼草,获得1符文。你可以放逐一张手牌或弃牌堆中的卡牌。,,community+variant
Wolf Shaman 10TH,CotG10,狼萨满,获得1符文。抽一张牌。,,official-anshashen+variant
Yggdrasil Staff 10TH,CotG10,世界树法杖,每回合一次，获得1战力。若你本回合打出过生命英雄，获得2荣誉。,,community+variant
Avatar Golem 10TH,CotG10,化身魔像,获得2战力。你每控制一种神器，获得1荣誉。,,community+variant
Burrower Mark II 10TH,CotG10,Burrower Mark II,抽一张牌 the first time you put a 机械 construct 进入战场 each turn (including this one).,,draft
Hedron Cannon 10TH,CotG10,Hedron Cannon,每回合一次，获得1战力 for each 机械神器 you control.,,draft
Hedron Link Device 10TH,CotG10,多面体连接装置,你可以将所有神器视为机械神器。,,community+variant
"Kor, the Ferromancer 10TH",CotG10,"Kor, the Ferromancer",获得2战力.  抽一张牌 if you control 2 或更高 Constructs.,,draft
Mechana Initiate 10TH,CotG10,机械新兵,获得1符文或1战力。,,official-anshashen+variant
Reactor Monk 10TH,CotG10,Reactor Monk,获得2符文.  The next 神器 you acquire 本回合 costs 1符文 less.,,draft
Rocket Courier X-99 10TH,CotG10,火箭信使X-99,每回合一次，当你获取另一张机械神器时，你可以将其直接进入战场。,,official-anshashen+variant
The Grand Design 10TH,CotG10,The Grand Design,每回合一次，获得2符文.  你可以spend it only to acquire 机械神器s.,,draft
Watchmaker's Altar 10TH,CotG10,制表师祭坛,每回合一次，获得1符文。你只能用它来获取机械神器。,,official-anshashen+variant
Arbiter of the Precipice 10TH,CotG10,Arbiter of the Precipice,抽两张牌.  Then banish any 卡牌 在你的手牌中.,,draft
Demon Slayer 10TH,CotG10,Demon Slayer,获得3战力.,,draft
"Emri, One with the Void 10TH",CotG10,"Emri, One with the Void",获得4战力.,,draft
Muramasa 10TH,CotG10,Muramasa,每回合一次，获得3战力.,,draft
Shade of the Black Watch 10TH,CotG10,黑卫之影,击败一个战力值不高于3的怪物。你可以放逐一张手牌或弃牌堆中的卡牌。,,community+variant
Shadow Star 10TH,CotG10,Shadow Star,每回合一次，获得1战力.,,draft
Spike Vixen 10TH,CotG10,Spike Vixen,获得1战力.  抽一张牌.,,draft
Void Initiate 10TH,CotG10,虚空新兵,获得1符文。你可以放逐一张手牌或弃牌堆中的卡牌。,,official-anshashen+variant
Voidthirster 10TH,CotG10,渴虚者,每回合一次，获得1战力。每回合你首次击败中央牌列中的怪物时，获得1荣誉。,,community+variant
Avatar of the Fallen 10TH,CotG10,堕落者化身,除非被击败，否则此怪物不可被放逐。奖励：获得4荣誉。你可以无需支付费用获取或击败中央牌列中的任意一张卡牌。,,official-anshashen+variant
Corrosive Widow 10TH,CotG10,腐蚀寡妇,奖励：获得3荣誉。每位对手须将其控制的一张神器置入弃牌堆。,,community+variant
Earth Tyrant 10TH,CotG10,大地暴君,奖励：获得5荣誉。抽两张牌。,,official-anshashen+variant
Mephit 10TH,CotG10,恶臭精,奖励：获得2荣誉。你可以放逐中央牌列中的一张卡牌。,,official-anshashen+variant
Mistake of Creation 10TH,CotG10,Mistake of Creation,奖励：获得4荣誉.  你可以banish a 卡牌 在中央牌列 and/or a 卡牌 在你的弃牌堆.,,draft
Samael's Trickster 10TH,CotG10,萨麦尔的诡术师,奖励：获得1荣誉。获得1符文。,,community+variant
Sea Tyrant 10TH,CotG10,海中暴君,奖励：获得5荣誉。每位对手须选择一张其控制的神器，将其余神器置入弃牌堆。,,community+variant
Tormented Soul 10TH,CotG10,Tormented Soul,奖励：获得1荣誉.  抽一张牌.,,draft
Wind Tyrant 10TH,CotG10,Wind Tyrant,奖励：获得3荣誉.  获得3符文.,,draft
"Xeron, Duke of Lies 10TH",CotG10,"Xeron, Duke of Lies",奖励：获得3荣誉.  Take a 卡牌 at random from each opponent's 手牌 and add that 卡牌 to your 手牌.,,draft
Militia,,民兵,获得1战力。,,official-anshashen
Apprentice,,学徒,获得1符文。,,official-anshashen
Mystic,,秘教士,获得2符文。,,official-anshashen
Heavy Infantry,,重装步兵,获得2战力。,,official-anshashen
Cultist,,邪教徒,奖励：获得1荣誉。,,official-anshashen
Arha Initiate,CotG,亚哈新兵,抽一张牌。,,official-anshashen
Arha Templar,CotG,亚哈圣殿武士,击败一个战力值不高于4的怪物。,,official-anshashen
Ascetic of the Lidless Eye,CotG,无目之眼苦行僧,抽两张牌。,,official-anshashen
Master Dhartha,CotG,达萨大师,抽三张牌。,,official-anshashen
Oziah the Peerless,CotG,无双的奥齐亚,击败一个战力值不高于6的怪物。,,community
Seer of the Forked Path,CotG,歧路预言者,抽一张牌。你可以放逐一张手牌。,,community
Tablet of Time's Dawn,CotG,时晓石板,放逐此神器，然后在本回合后再进行一个额外回合。,,community
Temple Librarian,CotG,神殿图书管理员,弃一张牌。若你如此做，抽两张牌。,,official-anshashen
The All-Seeing Eye,CotG,全视之眼,每回合一次，你可以抽一张牌。,,community
Twofold Askara,CotG,双重阿斯卡拉,复制本回合打出的一张英雄的效果。,,community
"Cetra, Weaver of Stars",CotG,织星者塞特拉,获取任意一个英雄。将其放到你的牌库顶。,,community
Druids of the Stone Circle,CotG,石环德鲁伊,无需支付费用获取一个费用不高于3符文的英雄。将其放到你的牌库顶。,,official-anshashen
Flytrap Witch,CotG,捕蝇草女巫,获得2荣誉。抽一张牌。,,official-anshashen
Landtalker,CotG,大地说书人,获得3符文。,,official-anshashen
Lifebound Initiate,CotG,生命新兵,获得1符文和1荣誉。,,official-anshashen
Runic Lycanthrope,CotG,符文狼化人,获得2符文。若你本回合打出过生命英雄，获得2战力。,,official-anshashen
Snapdragon,CotG,金鱼草,获得1符文。你可以放逐一张手牌或弃牌堆中的卡牌。,,community
Wolf Shaman,CotG,狼萨满,获得1符文。抽一张牌。,,official-anshashen
Yggdrasil Staff,CotG,世界树法杖,每回合一次，获得1战力。若你本回合打出过生命英雄，获得2荣誉。,,community
Avatar Golem,CotG,化身魔像,获得2战力。你每控制一种神器，获得1荣誉。,,community
Burrower Mark II,CotG,Burrower Mark II,抽一张牌 the first time you put a 机械 construct 进入战场 each turn (including this one).,,draft
Hedron Cannon,CotG,Hedron Cannon,每回合一次，获得1战力 for each 机械神器 you control.,,draft
Hedron Link Device,CotG,多面体连接装置,你可以将所有神器视为机械神器。,,community
"Kor, the Ferromancer",CotG,"Kor, the Ferromancer",获得2战力.  抽一张牌 if you control 2 或更高 Constructs.,,draft
Mechana Initiate,CotG,机械新兵,获得1符文或1战力。,,official-anshashen
Reactor Monk,CotG,Reactor Monk,获得2符文.  The next 神器 you acquire 本回合 costs 1符文 less.,,draft
Rocket Courier X-99,CotG,火箭信使X-99,每回合一次，当你获取另一张机械神器时，你可以将其直接进入战场。,,official-anshashen
The Grand Design,CotG,The Grand Design,每回合一次，获得2符文.  你可以spend it only to acquire 机械神器s.,,draft
Watchmaker's Altar,CotG,制表师祭坛,每回合一次，获得1符文。你只能用它来获取机械神器。,,official-anshashen
Arbiter of the Precipice,CotG,Arbiter of the Precipice,抽两张牌.  Then banish any 卡牌 在你的手牌中.,,draft
Demon Slayer,CotG,Demon Slayer,获得3战力.,,draft
"Emri, One with the Void",CotG,"Emri, One with the Void",获得4战力.,,draft
Muramasa,CotG,Muramasa,每回合一次，获得3战力.,,draft
Shade of the Black Watch,CotG,黑卫之影,击败一个战力值不高于3的怪物。你可以放逐一张手牌或弃牌堆中的卡牌。,,community
Shadow Star,CotG,Shadow Star,每回合一次，获得1战力.,,draft
Spike Vixen,CotG,Spike Vixen,获得1战力.  抽一张牌.,,draft
Void Initiate,CotG,虚空新兵,获得1符文。你可以放逐一张手牌或弃牌堆中的卡牌。,,official-anshashen
Voidthirster,CotG,渴虚者,每回合一次，获得1战力。每回合你首次击败中央牌列中的怪物时，获得1荣誉。,,community
Avatar of the Fallen,CotG,堕落者化身,除非被击败，否则此怪物不可被放逐。奖励：获得4荣誉。你可以无需支付费用获取或击败中央牌列中的任意一张卡牌。,,official-anshashen
Corrosive Widow,CotG,腐蚀寡妇,奖励：获得3荣誉。每位对手须将其控制的一张神器置入弃牌堆。,,community
Earth Tyrant,CotG,大地暴君,奖励：获得5荣誉。抽两张牌。,,official-anshashen
Mephit,CotG,恶臭精,奖励：获得2荣誉。你可以放逐中央牌列中的一张卡牌。,,official-anshashen
Mistake of Creation,CotG,Mistake of Creation,奖励：获得4荣誉.  你可以banish a 卡牌 在中央牌列 and/or a 卡牌 在你的弃牌堆.,,draft
Samael's Trickster,CotG,萨麦尔的诡术师,奖励：获得1荣誉。获得1符文。,,community
Sea Tyrant,CotG,海中暴君,奖励：获得5荣誉。每位对手须选择一张其控制的神器，将其余神器置入弃牌堆。,,community
Tormented Soul,CotG,Tormented Soul,奖励：获得1荣誉.  抽一张牌.,,draft
Wind Tyrant,CotG,Wind Tyrant,奖励：获得3荣誉.  获得3符文.,,draft
"Xeron, Duke of Lies",CotG,"Xeron, Duke of Lies",奖励：获得3荣誉.  Take a 卡牌 at random from each opponent's 手牌 and add that 卡牌 to your 手牌.,,draft
Adayu the Omnipotent,RotF,"Adayu, the Chosen",获取 or defeat any 卡牌 在中央牌列.  (You do not have to pay Runes or 战力).,,draft
Arha Sensei,RotF,Arha Sensei,"放逐一张卡牌 在你的手牌中.  If you do, acquire a 秘教士 or 重装步兵.  Add it to your 手牌.",,draft
Askara of Fate,RotF,Askara of Fate,"FATE: When this enters the 中央牌列, each player may 抽一张牌.
抽两张牌.  Each other player may 抽一张牌.  Then 你可以banish a 卡牌 在中央牌列.",,draft
Dhartha's Retreat,RotF,Dhartha's Retreat,"If you do not acquire or defeat a 卡牌 on your turn, 你可以draw two additional cards at the end of your turn.",,draft
Eternal Askara,RotF,Eternal Askara,"放逐一张卡牌 在中央牌列.   If you banish a monster this way, 获得3荣誉.",,draft
Hectic Scribe,RotF,Hectic Scribe,"抽两张牌, then discard two cards.",,draft
"Nairi, Henge Queen",RotF,"Nairi, Henge Queen",获得5荣誉.,,draft
Dandelion Witch,RotF,Dandelion Witch,抽一张牌.  获得1荣誉 for each 生命英雄 you 打出 or have played 本回合 (including this one).,,draft
Great-Omen Raven,RotF,Great-Omen Raven,"Name a 卡牌.  Reveal the top 卡牌 of your 牌库 and put it into your 手牌.  If it is the named 卡牌, 获得3荣誉.",,draft
Lunar Stag,RotF,Lunar Stag,获得2符文 or 2荣誉.,,draft
Serpentcall,RotF,Serpentcall,"每回合一次，获得2符文.
每回合一次，你可以acquire a hero from the 虚空区 by paying its 符文 cost.",,draft
Stone Circle,,Stone Circle,"每回合一次，你可以reveal the top 卡牌 of your 牌库.  If it's a 生命英雄, draw it.
每回合一次，你可以spend 2符文 to 获得1荣誉.",,draft
Stone Circle,RotF,Stone Circle,"FATE: When this enters the 中央牌列, each player may acquire a 秘教士.  Put it on top of their 牌库.
每回合一次，when you acquire a 英雄, 你可以put it 放到你的牌库顶.",,draft
Project Alpha,RotF,Project Alpha,每回合一次，你可以acquire a 英雄 or 神器 with cost less than or equal to the number of 机械神器s you control.,,draft
Dimension Diver,RotF,Dimension Diver,获得2符文.  你可以treat all Constructs as 机械神器s 本回合.,,draft
Combustion Idol,RotF,Combustion Idol,每回合一次，你可以抽一张牌 if you control three 或更高 机械神器s.,,draft
Battery Monk,RotF,Battery Monk,你可以pay 1符文 less the next time you acquire a 神器 本回合.  抽一张牌.,,draft
Reclamax,RotF,Reclamax,"FATE: When this enters the 中央牌列, each player may choose a 神器 in their 弃牌堆 and put it in their 手牌.
",,draft
Socket Altar,RotF,Socket Altar,"每回合一次，when you put a 机械神器 进入战场 (including this one), 获得2符文.",,draft
Ferromancer's Helper,,Ferromancer's Helper,"获得2符文.  你可以put a 神器 you control 置入你的弃牌堆.  If you do, 获得2战力.",,draft
Arbiter of Fate,RotF,Arbiter of Fate,"FATE: When this enters the 中央牌列, each player may banish a 卡牌 from their 手牌 or 弃牌堆.
抽一张牌. 你可以banish a 卡牌 在你的手牌或弃牌堆.",,draft
Guardian of Sadranis,RotF,Guardian of Sadranis,"获得1战力. The next time you defeat a 怪物 在中央牌列 or the 虚空区 本回合, 获得2荣誉.",,draft
Black Hole,RotF,Black Hole,"每回合一次，你可以banish a 卡牌 在你的手牌中.  If you do, 获得1战力.",,draft
Deathseeker,RotF,Deathseeker,"获得2战力.  If this is banished from your 手牌 or 弃牌堆, 获得3荣誉.",,draft
"Sadranis, Dark Emissary",RotF,"Sadranis, Dark Emissary",获得3战力. 你可以defeat a 怪物 from the 虚空区 by paying its 战力 cost. Put it on the bottom of the center 牌库.,,draft
Black Watch Elite,RotF,Black Watch Elite,获得3战力.  你可以banish a 卡牌 在你的手牌或弃牌堆.,,draft
"Bazu, Duke of Scorn",RotF,"Bazu, Duke of Scorn",奖励：获得4荣誉.  Each opponent either discards a 卡牌 for each 神器 they control or puts all Constructs into their 弃牌堆.,,draft
Doom Weeper,RotF,Doom Weeper,奖励：获得2荣誉.  获得2符文.,,draft
Fire Tyrant,RotF,Fire Tyrant,奖励：获得6荣誉.  Each opponent must discard a 卡牌.,,draft
Ravenous Gorph,RotF,Ravenous Gorph,"FATE: When this enters the 中央牌列, banish all cards adjacent to it.
奖励：获得3荣誉. 你可以banish a 卡牌 that was adjacent to this.",,draft
Samael the Fallen,RotF,堕落之神萨麦尔,不可放逐。,,official-anshashen
Sordid Asp,RotF,Sordid Asp,"奖励：获得1荣誉, then steal 2荣誉 from an opponent with the most 荣誉 if they have more than you.",,draft
Vaultbreaker Wurm,RotF,Vaultbreaker Wurm,奖励：获得4荣誉.  Each other player must discard their highest cost 神器. (They choose in case of a tie).,,draft
Militia SoS,,民兵,获得1战力。,,official-anshashen+variant
Apprentice SoS,,学徒,获得1符文。,,official-anshashen+variant
Mystic SoS,,秘教士,获得2符文。,,official-anshashen+variant
Heavy Infantry SoS,,重装步兵,获得2战力。,,official-anshashen+variant
Cultist SoS,,邪教徒,奖励：获得1荣誉。,,official-anshashen+variant
Fanatic SoS,SoS,狂信者,奖励：获得2荣誉。,,community+variant
Arha Rising,SoS,Arha Rising,"每回合一次，when a player discards any number of cards, they may return one of them to their 手牌.
",,draft
Dreamer's Glass,SoS,Dreamer's Glass,"每回合一次，你可以put a 卡牌 from your 手牌 under this face up.
",,draft
Tower Askara,SoS,Tower Askara,"抽 3 cards.  Then, discard 2 cards or an 启迪 卡牌.",,draft
"Raj, Psionic Master",SoS,"Raj, Psionic Master","放逐一个Hero from your 手牌.
",,draft
Eye of Destiny,SoS,Eye of Destiny,"每回合一次，when you acquire a 英雄, 你可以put it into your 手牌.",,draft
Elder Skeptic,SoS,Elder Skeptic,"抽 2 cards.  Then, discard a 卡牌.",,draft
Elemental Adept,SoS,Elemental Adept,"抽一张牌.
",,draft
Nook Hound,SoS,Nook Hound,"FATE: When this enters the 中央牌列, each player may look at the top 卡牌 of their 牌库.  They may put it into their 弃牌堆.",,draft
Prodigal,SoS,Prodigal,击败一个monster with P3 或更低.,,draft
Treasures of the Study,SoS,Treasures of the Study,"每回合一次，你可以discard 2 cards.  If you do, 获得3荣誉.",,draft
Ogo Rising,SoS,Ogo Rising,"The first 英雄 played 本回合 is also a 生命英雄.
",,draft
Starchild,SoS,Starchild,"获得1符文 and 1荣誉.  Then, 抽一张牌.",,draft
Granger,SoS,Granger,获得1符文 and 1荣誉.  UNITE: 获得1符文 and 1荣誉.,,draft
"Syril, Runic Alpha",SoS,"Syril, Runic Alpha",获得3符文.  UNITE: 获得3战力.,,draft
Lionheart,SoS,Lionheart,获得3荣誉.  UNITE: 抽一张牌.,,draft
Everbloom,SoS,Everbloom,每回合一次，获得1 荣誉.,,draft
Snake Shaman,SoS,Snake Shaman,"获得1符文.  If the Current Event is 生命, 获得an additional 1符文.
",,draft
Honey Siren,SoS,Honey Siren,"FATE: When Honey Siren enters the 中央牌列, each player may put a 英雄 from their 弃牌堆 on top of their 牌库.
",,draft
Avatar of Aiyana,SoS,Avatar of Aiyana,"获得2符文.
",,draft
Aiyana's Messenger,SoS,Aiyana's Messenger,获得1符文.  你可以pay 1 less 符文 the next time you aquire a 英雄 本回合.,,draft
Hedron Rising,SoS,Hedron Rising,"All Constructs are also 机械神器s.
",,draft
Weapon 303-V,SoS,Weapon 303-V,"每回合一次，when you 打出 a 机械神器 (including this one), you 获得3战力.",,draft
Scrap Flinger,SoS,Scrap Flinger,"获得2战力.  你可以destroy a 神器 you control.  If you do, 获得an additional 2战力.",,draft
Dream Machine,SoS,Dream Machine,"FATE: When Dream Machine enters the 中央牌列, each player may return a 神器 they control to their 手牌.
",,draft
Brazer Drone,SoS,Brazer Drone,获得1符文.  你可以return a 神器 from your 弃牌堆 to your 手牌.,,draft
Autobuilder 5.0,SoS,Autobuilder 5.0,你可以destroy this to pay 2符文 less the next time you acquire a 机械神器 本回合.,,draft
P.R.I.M.E.,SoS,P.R.I.M.E.,"获得3符文 or acquire a 神器 在中央牌列.
",,draft
Personal Wormhole,SoS,Personal Wormhole,"每回合一次，when you 打出 a 机械神器 (including this one), 你可以banish a 卡牌 在你的手牌或弃牌堆.",,draft
Cog Maw,SoS,Cog Maw,"每回合一次，你可以destroy a 机械神器 you control to 获得1符文.
",,draft
Synchronizer,SoS,Synchronizer,"每回合一次，when you 打出 a 机械神器 (including this one), 获得1符文.",,draft
