id,area,match,key,context,en,zh,status,notes,scope,source
glo_ae7b3ccc57d7,glossary,glossary,,scope=ui,Main Menu,主菜单,draft,,ui,new
glo_27ac41bb0b0f,glossary,glossary,,scope=ui,Menu,菜单,draft,,ui,new
glo_c7338996219a,glossary,glossary,,scope=ui,Settings,设置,draft,,ui,new
glo_7e9a621ce4ef,glossary,glossary,,scope=ui,Options,选项,draft,,ui,new
glo_999b1b3719cb,glossary,glossary,,scope=ui,Offline,离线,draft,,ui,new
glo_4205f8ffb8f4,glossary,glossary,,scope=ui,Online,在线,draft,,ui,new
glo_538a487cac71,glossary,glossary,,scope=ui,Exit,退出,draft,,ui,new
glo_fd4b2e6c7395,glossary,glossary,,scope=ui,Back,返回,draft,,ui,new
glo_2fac823aeb11,glossary,glossary,,scope=ui,Continue,继续,draft,,ui,new
glo_f934f208af5d,glossary,glossary,,scope=ui,Cancel,取消,draft,,ui,new
glo_0004211f61fa,glossary,glossary,,scope=ui,Owned,已拥有,draft,,ui,new
glo_7d387a2af97b,glossary,glossary,,scope=ui,Coming Soon,即将推出,draft,,ui,new
glo_cbc08ef56a52,glossary,glossary,,scope=ui,Now Available,现已推出,draft,,ui,new
glo_37653484002b,glossary,glossary,,scope=ui,Downloadable Content,可下载内容,draft,,ui,new
glo_06790ad56f4b,glossary,glossary,,scope=ui,END TURN,结束回合,draft,,ui,new
glo_7a0a09369ab3,glossary,glossary,,scope=ui,End Turn,结束回合,draft,,ui,new
glo_913301322cc2,glossary,glossary,,scope=ui,Play Your Turn,请出牌,draft,,ui,new
glo_b8378b5c8ee7,glossary,glossary,,scope=ui,Play All,全部打出,draft,,ui,new
glo_8406d0025f9a,glossary,glossary,,scope=ui,PLAY ALL,全部打出,draft,,ui,new
glo_0dc8b91dc3c9,glossary,glossary,,scope=ui,Loading cards please wait...,正在加载卡牌，请稍候…,draft,,ui,new
glo_13754a956772,glossary,glossary,,scope=ui,"Loading cards, please wait...",正在加载卡牌，请稍候…,draft,,ui,new
glo_9411da4a9fde,glossary,glossary,,scope=ui,"Loading rulebook, please wait...",正在加载规则书，请稍候…,draft,,ui,new
glo_e55d1aea9c77,glossary,glossary,,scope=ui,Player,玩家,draft,,ui,official-anshashen
glo_f8a6eb475ed2,glossary,glossary,,scope=ui,Turn,回合,draft,,ui,official-anshashen
glo_8c638de29882,glossary,glossary,,scope=ui,Lobby,大厅,draft,,ui,new
glo_b652de28f569,glossary,glossary,,scope=ui,Music,音乐,draft,,ui,new
glo_53a65cc61698,glossary,glossary,,scope=ui,Sound Effects,音效,draft,,ui,new
glo_a27bc1669851,glossary,glossary,,scope=ui,Cultist Screams,邪教徒惨叫,draft,,ui,new
glo_20373898637b,glossary,glossary,,scope=ui,Easy,简单,draft,,ui,new
glo_43acf751efa4,glossary,glossary,,scope=ui,Normal,普通,draft,,ui,new
glo_749eacd3402c,glossary,glossary,,scope=ui,Hard,困难,draft,,ui,new
glo_729a0d31e3ab,glossary,glossary,,scope=ui,Expert,专家,draft,,ui,new
glo_04fee0238c0f,glossary,glossary,,scope=ui,Beginner,入门,draft,,ui,new
glo_fc3e9aa7bf3f,glossary,glossary,,scope=ui,Language,语言,draft,,ui,new
glo_83b4574c5b7e,glossary,glossary,,scope=ui,English,英语,draft,,ui,new
glo_a33b6c54818b,glossary,glossary,,scope=ui,Chinese,中文,draft,,ui,new
glo_8e982dd8c006,glossary,glossary,,scope=ui,Simplified Chinese,简体中文,draft,,ui,new
glo_7ae3e34fd04f,glossary,glossary,,scope=ui,Traditional Chinese,繁体中文,draft,,ui,new
glo_6763305fdd0c,glossary,glossary,,scope=ui,Enable Chinese,启用中文,draft,,ui,new
glo_8fb645af8614,glossary,glossary,,scope=ui,Disable Chinese,关闭中文,draft,,ui,new
