id,domain,set,en_hash,en,zh,status,waived_reason,source_file
cards_effect:LGND:Mecha Emissary,cards_effect,LGND,885165aaf75d,Mecha Emissary,抽一张牌.\r\n联合-使者: 获得2符文. (获得此效果一次若 你打出或 拥有打出过另一使者本回合.),draft,,loc/zh-Hans/lua_cards.csv
cards_effect:LGND:Mechana Remnant,cards_effect,LGND,1e5cac5ca937,Mechana Remnant,"奖励：获得4荣誉.\r\n若你打出过或 已获取机械卡牌本回合, 获得2符文.",draft,,loc/zh-Hans/lua_cards.csv
cards_effect:LGND:Mechannihilator,cards_effect,LGND,287e67ce73b1,Mechannihilator,每回合一次，你可以摧毁另一一 的你的机械神器以 获得3战力.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:LGND:Mechaphoenix,cards_effect,LGND,f7b5e9d35632,Mechaphoenix,"每回合一次，当你 打出机械神器 (包括此牌一), 获取或 击败卡牌以 费用相等以 或低于其R费用.",draft,,loc/zh-Hans/lua_cards.csv
cards_effect:LGND:Monk of the Stone Circle,cards_effect,LGND,e7080f7f6004,Monk of the Stone Circle,获取一个英雄以 费用 3符文或更低和 将它放置置入你的手牌.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:LGND:Mountain Seer,cards_effect,LGND,a1ed20585a62,Mountain Seer,"抽一张牌, 然后放逐一张卡牌在 中央牌列. 然后, 获得1 renown在每个的 派系(s) 该被替换被放逐卡牌.",draft,,loc/zh-Hans/lua_cards.csv
cards_effect:LGND:Muse of Malevolence,cards_effect,LGND,15ff469f6822,Muse of Malevolence,奖励：获得5荣誉. 获得2 Renown在任意派系.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:LGND:Mushroom Druid,cards_effect,LGND,6b424bd6cca9,Mushroom Druid,获得3荣誉.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:LGND:Mycelial Mage,cards_effect,LGND,e7eec98d9fc9,Mycelial Mage,"抽一张牌.\r\n获得3荣誉, 然后放逐此牌.",draft,,loc/zh-Hans/lua_cards.csv
cards_effect:LGND:Pathseeker Sensei,cards_effect,LGND,d4689a3901bc,Pathseeker Sensei,击败一个怪物的 4战力或更低无需支付费用.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:LGND:Portal Ninja,cards_effect,LGND,4815af4f4beb,Portal Ninja,获得2符文.\r\n联合: 你可以放逐一张卡牌你 打出过本回合.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:LGND:Psionic Monk,cards_effect,LGND,c5175f6f1839,Psionic Monk,抽 2 卡牌.\r\n获得1荣誉以 每个派系之中神器你控制的.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:LGND:Psychic Amulet,cards_effect,LGND,f26ef6eefcbe,Psychic Amulet,"每回合一次，当你 打出机械或 启迪神器 (包括此牌一), 抽一张牌.",draft,,loc/zh-Hans/lua_cards.csv
"cards_effect:LGND:Raiyna, Riftwalker",cards_effect,LGND,1876a432ff3e,"Raiyna, Riftwalker","获得4战力.\r\n下次你击败一个怪物在 中央牌列本回合, 获得其non-荣誉奖励两次.",draft,,loc/zh-Hans/lua_cards.csv
cards_effect:LGND:Remnant of the Fallen,cards_effect,LGND,d327e1123153,Remnant of the Fallen,奖励：获得5荣誉.\r\n获得1 Renown的每个派系.\r\n你可以获取或 击败任意卡牌在 中央牌列无需支付费用.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:LGND:Riftclaw,cards_effect,LGND,e14376e51b1c,Riftclaw,每回合一次，获得1战力.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:LGND:Sablespark Sisters,cards_effect,LGND,5d443d702d12,Sablespark Sisters,"抽一张牌.\r\n获得1符文, 然后放逐此牌.",draft,,loc/zh-Hans/lua_cards.csv
cards_effect:LGND:Shade Askara,cards_effect,LGND,a0419d2899fe,Shade Askara,"获得3战力.\r\n若你 拥有启迪或 虚空卡牌在你的弃牌堆, 抽一张牌.",draft,,loc/zh-Hans/lua_cards.csv
cards_effect:LGND:Shade Feather,cards_effect,LGND,647d9380a96e,Shade Feather,获得1战力.你可以放逐一张卡牌在你的手牌或弃牌堆.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:LGND:Shadow Arbiter,cards_effect,LGND,3b97d278b8db,Shadow Arbiter,抽一张牌. 你可以放逐一张卡牌在你的手牌中以 获得2战力.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:LGND:Shadow Mender,cards_effect,LGND,7a0c5212d6d4,Shadow Mender,获得3战力.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:LGND:Snowstrider Lycan,cards_effect,LGND,aa72c7c20add,Snowstrider Lycan,"获得1符文, 1荣誉, 1战力, 和抽一张牌.",draft,,loc/zh-Hans/lua_cards.csv
cards_effect:LGND:Tablet of the Templar,cards_effect,LGND,afdd8767efe1,Tablet of the Templar,你可以摧毁此 以击败一个怪物的 费用 4战力或更低无需支付费用.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:LGND:The Chrome Circle,cards_effect,LGND,e35a65aa8b08,The Chrome Circle,"每回合一次，当你 打出机械或 生命神器 (包括此牌一), 获得1符文和 1荣誉.",draft,,loc/zh-Hans/lua_cards.csv
cards_effect:LGND:The Dreamscrape,cards_effect,LGND,8e328706a627,The Dreamscrape,每回合一次，你可以摧毁另一一 的你的机械神器以 获得2符文.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:LGND:The Iron Seven,cards_effect,LGND,9f4a33db7501,The Iron Seven,"奖励：获得3荣誉. 选择aand摧毁至多一 神器在 打出, 或返回神器从 你的弃牌堆以 你的手牌.",draft,,loc/zh-Hans/lua_cards.csv
cards_effect:LGND:Turtler Merchant,cards_effect,LGND,77c61fc08113,Turtler Merchant,获得5荣誉.\r\n你可以返回H以池 相等以H的英雄或 神器在 中央牌列. 若你如此做，获取它.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:LGND:Void Emissary,cards_effect,LGND,01b05b3edec0,Void Emissary,抽一张牌.\r\n联合-使者: 获得2战力. (获得此效果一次若 你打出或 拥有打出过另一使者本回合.),draft,,loc/zh-Hans/lua_cards.csv
cards_effect:LGND:Void Remnant,cards_effect,LGND,64c2df59e5b7,Void Remnant,"奖励：获得4荣誉.\r\n若你打出过或 已获取虚空卡牌本回合, 你可以放逐至多两 卡牌从你的手牌或 弃牌堆.",draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RU:Adayu the Serene,cards_effect,RU,b38a9bd22516,Adayu the Serene,"此英雄视为作为所有派系.\r\n获得1符文, 1战力和 1荣誉. 抽一张牌.\r\n多重联合： 获得1符文以 每个机械英雄, 1战力以 每个虚空英雄,1荣誉以 每个命约英雄, 和抽一张牌以 每个圣贤英雄你 打出或 拥有打出过本回合.",draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RU:Adayu the Tormented,cards_effect,RU,36797c1e0dd9,Adayu the Tormented,奖励： 将此牌转化为阿达尤宁静和 获取它.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RU:Air Support Squadron,cards_effect,RU,3efd8fc08f81,Air Support Squadron,"每回合一次，当你 获取机械卡牌, 你可以将它放置在你的手牌中.",draft,,loc/zh-Hans/lua_cards.csv
"cards_effect:RU:Alset, Monk Prodigy",cards_effect,RU,4106dc930194,"Alset, Monk Prodigy","当此 为在你的手牌中, 若你控制的 2 或更高神器s, 将此牌转化为阿尔塞特, 反应堆学者.\r\n获得3符文.",draft,,loc/zh-Hans/lua_cards.csv
"cards_effect:RU:Alset, Reactor Savant",cards_effect,RU,830935ab6076,"Alset, Reactor Savant","获得4符文.\r\n当你 获取神器本回合, 你可以将它放置进入战场.",draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RU:Animus of the Wild,cards_effect,RU,c33a26d964cb,Animus of the Wild,获得2符文.\r\n你支付 1符文更低下次你获取一个英雄本回合.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RU:Apprentice RU,cards_effect,RU,a59849f2a17e,Apprentice RU,获得1符文。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:RU:Black Watch Exemplar,cards_effect,RU,67408db63214,Black Watch Exemplar,获得3战力.\r\n多重联合： 你可以放逐一张卡牌在你的弃牌堆.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RU:Borderland Mercenary,cards_effect,RU,33d751a98672,Borderland Mercenary,抽一张牌.\r\n命名派系. 此英雄视为作为该 派系本回合.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RU:Borderland Nihilist,cards_effect,RU,3c415365d6cd,Borderland Nihilist,奖励： 将此牌转化为边地佣兵和 获取它.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RU:Canon Templar,cards_effect,RU,8a1cb490ccf3,Canon Templar,获得2符文.\r\n你可以击败一个怪物以P费用低于或 相等以R费用的 神器你控制的.,draft,,loc/zh-Hans/lua_cards.csv
"cards_effect:RU:Cetra, Matron of Stars",cards_effect,RU,14fe5b5b76d4,"Cetra, Matron of Stars","一次本回合, 获取一个英雄无需支付费用. 将它放置放到你的牌库顶.\r\n多重联合： 你可以重复此.",draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RU:Clutch of Darkness,cards_effect,RU,fc850b7857b0,Clutch of Darkness,每回合一次，获得2战力.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RU:Cultist RU,cards_effect,RU,99ac96465a53,Cultist RU,奖励：获得1荣誉。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:RU:Deathbound Druid,cards_effect,RU,3f9a4ea2f767,Deathbound Druid,获得3荣誉.\r\n你可以放逐一张卡牌在你的弃牌堆.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RU:Deathdealer Noble,cards_effect,RU,8c2ada421b1d,Deathdealer Noble,获得2战力.\r\n多重联合： 获得1战力.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RU:Defense Generator,cards_effect,RU,a6a27a6a3be8,Defense Generator,"每回合一次，当你 获取机械卡牌, 获得2战力.",draft,,loc/zh-Hans/lua_cards.csv
"cards_effect:RU:Dhartha, the Eternal",cards_effect,RU,40fd8f1db0ec,"Dhartha, the Eternal",展示传送门牌库顶的卡牌. 获取或 击败该 卡牌无需支付费用.\r\n多重联合： 你可以重复此.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RU:Disciple of Cetra,cards_effect,RU,a9b665416a9e,Disciple of Cetra,"当此 为在你的手牌中, 若你 拥有打出过另一命约英雄本回合, 将此牌转化为后裔· 塞特拉.\r\n获得1符文和 1荣誉.",draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RU:Disciple of Emri,cards_effect,RU,12fbe4b6c40e,Disciple of Emri,"当此 为在你的手牌中, 若你 拥有打出过另一虚空英雄本回合, 将此牌转化为后裔· 艾姆瑞.\r\n获得1战力.\r\n你可以放逐一张卡牌在你的弃牌堆.",draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RU:Disciple of Euloth,cards_effect,RU,9c3ab17e485e,Disciple of Euloth,"当此 为在你的手牌中, 若你 拥有打出过另一机械英雄本回合, 将此牌转化为后裔· 尤洛斯.\r\n获得1符文和 1战力.",draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RU:Disciple of Oziah,cards_effect,RU,5d3cb7d3d975,Disciple of Oziah,"当此 为在你的手牌中, 若你 拥有打出过另一圣贤英雄本回合, 将此牌转化为后裔· 奥齐亚.\r\n击败一个怪物以 费用 3战力或更低无需支付费用.",draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RU:Druid's Wreath,cards_effect,RU,5ace0bdf8609,Druid's Wreath,"若你打出过两 或更高命约英雄本回合, 将此牌转化为翠绿冠冕.",draft,,loc/zh-Hans/lua_cards.csv
"cards_effect:RU:Emri, Demonsbane",cards_effect,RU,36f29eac5956,"Emri, Demonsbane","获得5战力.\r\n此回合, 你可以击败怪物在 虚空区作为穿过他们处于在中央牌列. 放置怪物被击败以此方式置于其底： 传送门牌库.",draft,,loc/zh-Hans/lua_cards.csv
"cards_effect:RU:Emri, the Unmaker",cards_effect,RU,97cef2dfc629,"Emri, the Unmaker","当此 为在你的手牌中, 若那里为 8 或更高怪物在 虚空区, 将此牌转化为恶魔克星艾姆瑞.\r\n获得4战力.",draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RU:Everbloom Clique,cards_effect,RU,ac3f6a82aef0,Everbloom Clique,获得2荣誉.\r\n多重联合： 获得1荣誉.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RU:Forgotten Scripture,cards_effect,RU,26b2bb5e3cd3,Forgotten Scripture,"若你打出过两 的更多圣贤英雄本回合, 将此牌转化为真言的 真正视界.",draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RU:Foundation Burrower,cards_effect,RU,79e121add007,Foundation Burrower,奖励： 获得1荣誉. 你可以放逐一张卡牌在中央牌列.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RU:Heavy Infantry RU,cards_effect,RU,bc7978d2173b,Heavy Infantry RU,获得2战力。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:RU:Hedron Watchtower,cards_effect,RU,26dff4ad59a9,Hedron Watchtower,"每回合一次，当你 获取机械卡牌, 获得H相等以 该卡牌之H值.",draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RU:Initiate's Gauntlets,cards_effect,RU,4238ac8ea40a,Initiate's Gauntlets,"若你打出过两 或更高虚空英雄本回合, 将此牌转化为黑暗之握.",draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RU:Journeyman Outrider,cards_effect,RU,2353ed31511b,Journeyman Outrider,获取一个英雄或 神器以 费用 5符文或更低无需支付费用.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RU:Mantra of True Sight,cards_effect,RU,7093af074afc,Mantra of True Sight,每回合一次，你可以抽一张牌.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RU:Matron of Discovery,cards_effect,RU,9409859a2b60,Matron of Discovery,获得2符文.\r\n多重联合： 获得1符文.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RU:Militia RU,cards_effect,RU,04ebcf76e963,Militia RU,获得1战力。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:RU:Mystic RU,cards_effect,RU,f255a5b5c70c,Mystic RU,获得2符文。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:RU:Neophyte Mentor,cards_effect,RU,a611f824136a,Neophyte Mentor,抽一张牌.\r\n 下一秘教士或 重装步兵你 打出本回合视为作为派系的 你的choice.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RU:Nightmare Delver,cards_effect,RU,024481499437,Nightmare Delver,"获得2符文.\r\n若你控制的两 或更高神器s, 你可以放逐一张卡牌在你的弃牌堆.",draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RU:Oziah's Familiar,cards_effect,RU,829686841999,Oziah's Familiar,击败一个怪物以 费用 4战力或更低无需支付费用.\r\n多重联合： 重复此效果.,draft,,loc/zh-Hans/lua_cards.csv
"cards_effect:RU:Remus, Pack Guardian",cards_effect,RU,0d5250c5bed1,"Remus, Pack Guardian","当此 为在你的手牌中, 若你 拥有已获得 3荣誉或更高本回合, 将此牌转化为雷穆斯, 荒野使者.\r\n获得3符文.",draft,,loc/zh-Hans/lua_cards.csv
"cards_effect:RU:Remus, Wild Emissary",cards_effect,RU,60cc3de7f0ed,"Remus, Wild Emissary",获得3符文.\r\n你可以花费R作为穿过它 曾是P本回合.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RU:Sadistic Giant,cards_effect,RU,c92c583dd041,Sadistic Giant,奖励： 获得5荣誉.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RU:Scion of Cetra,cards_effect,RU,ef28b553beb2,Scion of Cetra,获得2符文和 2荣誉.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RU:Scion of Emri,cards_effect,RU,c27e1cc61faf,Scion of Emri,获得3战力.\r\n你可以放逐一张卡牌在你的弃牌堆.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RU:Scion of Euloth,cards_effect,RU,3db22ea97e1e,Scion of Euloth,获得2符文和 2战力.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RU:Scion of Oziah,cards_effect,RU,e7d7db4c1bb1,Scion of Oziah,击败一个怪物以 费用 5战力或更低无需支付费用.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RU:Scryer of the Lidless Eye,cards_effect,RU,a0b643e005e9,Scryer of the Lidless Eye,"抽两 卡牌, 然后弃掉卡牌. 若已弃掉卡牌为 启迪, 返回它 以你的手牌.",draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RU:Secluded Laboratory,cards_effect,RU,92a5dffb9b35,Secluded Laboratory,"若你打出过两 或更高机械英雄, 将此牌转化为零 点反应堆.",draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RU:Shadow Stalker,cards_effect,RU,63d045095e0a,Shadow Stalker,你可以放逐一张卡牌在你的弃牌堆.\r\n抽一张牌.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RU:Snapdragon Witch,cards_effect,RU,47422dacc594,Snapdragon Witch,"获得1荣誉.\r\n抽一张牌.\r\n若你 拥有更多H于每个其他玩家, 抽额外的卡牌.",draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RU:Sower of Betrayal,cards_effect,RU,b5ede61bcf3f,Sower of Betrayal,奖励： 获得3荣誉. 命名派系. 获得额外的 2荣誉以 每个英雄的 该派系你 拥有打出过本回合.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RU:Sower of Discontent,cards_effect,RU,d8af98c8c383,Sower of Discontent,奖励： 获得2荣誉. 命名派系. 获得额外的 1荣誉以 每个英雄的 该派系你 拥有打出过本回合.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RU:Spike Vixen RU,cards_effect,RU,3a000d8a544f,Spike Vixen RU,获得1战力。抽一张牌。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:RU:Terrorizing Fiend,cards_effect,RU,087053281081,Terrorizing Fiend,奖励： 获得2荣誉. 抽两张牌.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RU:Timestream Seer,cards_effect,RU,6b9dd3af5b7e,Timestream Seer,获得2符文.\r\n你可以放逐一张卡牌在中央牌列.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RU:Upgrade Foundry,cards_effect,RU,8bb208d12e4f,Upgrade Foundry,"每回合一次，当你 获取机械卡牌, 抽两张牌.",draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RU:Verdant Crown,cards_effect,RU,fe1d1976f8ed,Verdant Crown,每回合一次，获得2荣誉.,draft,,loc/zh-Hans/lua_cards.csv
"cards_effect:RU:Vir, Ascetic Master",cards_effect,RU,1d6093bc6f1c,"Vir, Ascetic Master","当此 为在你的手牌中, 若你 拥有打出过英雄的 每个派系本回合, 将此牌转化为维尔, 昙花古鲁.\r\n获取一个英雄在中央牌列无需支付费用和 将它放置在你的手牌中.",draft,,loc/zh-Hans/lua_cards.csv
"cards_effect:RU:Vir, Ephemeral Guru",cards_effect,RU,775ba61a0c27,"Vir, Ephemeral Guru",获取所有英雄在中央牌列无需支付费用和 放置它们在你的手牌中.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RU:Voidforged Paladin,cards_effect,RU,389828baf7da,Voidforged Paladin,"获得2战力.\r\n 首先次 你击败一个怪物在中央牌列本回合, 抽两张牌.",draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RU:Wailing Spectre,cards_effect,RU,b8a0dc729555,Wailing Spectre,奖励： 获得4荣誉. 你可以放逐至多两 卡牌在你的弃牌堆.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RU:Wildgear Druid,cards_effect,RU,5e04fa9b7992,Wildgear Druid,"获得2符文.\r\n若你控制的两 或更高神器s, 获得2荣誉.",draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RU:Wolf Shaman RU,cards_effect,RU,e103c27bc0e2,Wolf Shaman RU,获得1符文。抽一张牌。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:RU:Workshop Gargoyle,cards_effect,RU,30505d3daa1e,Workshop Gargoyle,"每回合一次，当你 获取机械卡牌, 获得1荣誉.",draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RU:Zero Point Reactor,cards_effect,RU,713590d28ef6,Zero Point Reactor,每回合一次，获得2符文.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RoV:Apprentice RoV,cards_effect,RoV,76b285cf7b97,Apprentice RoV,获得1符文。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:RoV:Beacon Shaman,cards_effect,RoV,89dbc2d50de8,Beacon Shaman,"展示你牌库顶的卡牌和 将它放置在你的手牌中. 若它 为宝藏, 获得3荣誉.",draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RoV:Blackwatch Vanquisher,cards_effect,RoV,70201ffb2cce,Blackwatch Vanquisher,获得2战力.\r\nENERGIZE 3E: 获得额外的 2战力.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RoV:Cognition Courier,cards_effect,RoV,5614dc5a3196,Cognition Courier,获得2符文.\r\n充能： 你支付 1符文更低下次你获取神器本回合以 每个 1E你拥有已获得本回合.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RoV:Cultist RoV,cards_effect,RoV,5740d07014d9,Cultist RoV,奖励：获得1荣誉。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:RoV:Darkwalker,cards_effect,RoV,5c90816be67b,Darkwalker,获得2战力.\r\nENERGIZE 1E: 你可以放逐一张卡牌在你的手牌或弃牌堆.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RoV:Deviant Fiend,cards_effect,RoV,d4106a3d5e06,Deviant Fiend,奖励： 获得3荣誉.\r\n充能： 获得额外的 1荣誉以 每个 1E你拥有已获得本回合.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RoV:Energy Shard,cards_effect,RoV,bd1f1e60ebea,Energy Shard,获得1E. 抽一张牌.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RoV:Energy Shard Start,cards_effect,RoV,de893e624645,Energy Shard Start,获得1E. 抽一张牌.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RoV:Firestorm Effigy,cards_effect,RoV,83b55b04e983,Firestorm Effigy,奖励： 获得3荣誉. 你可以放逐一张卡牌在你的手牌或弃牌堆.\r\nENERGIZE 1E: 你可以放逐额外的卡牌在你的手牌或弃牌堆.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RoV:Foresight Monacle,cards_effect,RoV,9cdf88e17937,Foresight Monacle,"ENERGIZE 4E: 一次本回合, 获得1符文以 每个机械神器你控制的.",draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RoV:Heavy Infantry RoV,cards_effect,RoV,6d54ece8d697,Heavy Infantry RoV,获得2战力。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:RoV:Herald of Doom,cards_effect,RoV,78efbf493205,Herald of Doom,奖励： 获得6荣誉. 获取或 击败卡牌在中央牌列无需支付费用.\r\nENERGIZE 7E: 改为， 获取和 击败所有卡牌在中央牌列无需支付费用.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RoV:Illiya the Demonborn,cards_effect,RoV,a23445337854,Illiya the Demonborn,获得4战力.\r\n充能： 获得额外的 1战力以 每个 1E你拥有已获得本回合.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RoV:Lagoon Troll,cards_effect,RoV,7b90493cae66,Lagoon Troll,奖励： 获得2荣誉. 抽一张牌.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RoV:Leotan's Familiar,cards_effect,RoV,bcbc9b9f59dc,Leotan's Familiar,获得1符文.\r\nENERGIZE 1E: 获得2荣誉.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RoV:Lifebound Muse,cards_effect,RoV,57452173b561,Lifebound Muse,获取一个英雄以 费用 4符文或更低无需支付费用.\r\nENERGIZE 2E: 改为， 获取任意英雄无需支付费用.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RoV:Loamspeaker Druid,cards_effect,RoV,89d65af81e1f,Loamspeaker Druid,"天命： 当此牌进入中央牌列时, 以每个宝藏其下此,",draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RoV:Magnet Monk,cards_effect,RoV,124d581c5176,Magnet Monk,获得2战力.\r\n获得1E以每个派系在你控制的神器之中.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RoV:Militia RoV,cards_effect,RoV,32970bab1a2c,Militia RoV,获得1战力。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:RoV:Monastic Tutor,cards_effect,RoV,c72e4bbce351,Monastic Tutor,获取一个秘教士或 重装步兵无需支付费用.\r\nENERGIZE 1E: 放置所获取的卡牌置入你的手牌.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RoV:Monk of the Lidless Eye,cards_effect,RoV,b7723ff03bb4,Monk of the Lidless Eye,"天命： 当此牌进入中央牌列时, 以每个宝藏其下此,",draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RoV:Mordant Widow,cards_effect,RoV,07082ae93da8,Mordant Widow,"奖励： 获得4荣誉. 以每位对手, 你选择和 摧毁一个神器其控制的.",draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RoV:Mystic RoV,cards_effect,RoV,f6f64840916a,Mystic RoV,获得2符文。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:RoV:Nyxian Spiritcaster,cards_effect,RoV,c7ef72962ea5,Nyxian Spiritcaster,获得3E.\r\n抽一张牌.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RoV:Ogo Demontrap,cards_effect,RoV,c538ebee8642,Ogo Demontrap,"每回合一次，获得1战力.\r\nENERGIZE 4E: 一次本回合, 获得3荣誉.",draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RoV:Omnicron,cards_effect,RoV,5ce50d681de4,Omnicron,"天命： 当此牌进入中央牌列时, 以每个宝藏其下此,",draft,,loc/zh-Hans/lua_cards.csv
"cards_effect:RoV:Oras, the Redeemer",cards_effect,RoV,dafb3f616fec,"Oras, the Redeemer","获得4符文.\r\n每位次 你获取一个英雄从中央牌列本回合, 获得荣誉相等以 其荣誉值.",draft,,loc/zh-Hans/lua_cards.csv
"cards_effect:RoV:Oziah, Judge of Logos",cards_effect,RoV,1382a39dc2e3,"Oziah, Judge of Logos","当此 为在中央牌列, 你可以获取此 无需支付费用若 你拥有已获得 7E或更高本回合.\r\n击败所有怪物在中央牌列无需支付费用.",draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RoV:Portabillet,cards_effect,RoV,5289b217c59c,Portabillet,"每回合一次，当你 打出机械神器 (包括此牌一), 抽一张牌.\r\nENERGIZE 5E: 一次本回合, 抽一张牌.",draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RoV:Protean Sea Slug,cards_effect,RoV,7fe2e452040e,Protean Sea Slug,奖励： 获得5荣誉. 每位对手摧毁所有神器s其控制的.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RoV:Prototype CH32,cards_effect,RoV,51d74c78eb9b,Prototype CH32,"ENERGIZE 1E: 一次本回合, 当你 获取机械神器, 你可以将其直接进入战场.",draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RoV:Raging Ursine,cards_effect,RoV,4358d1dd493b,Raging Ursine,奖励： 获得3荣誉.\r\nENERGIZE 2E: 获得2符文.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect:RoV:Reactor Shrine,cards_effect,RoV,3f7e76be8bec,Reactor Shrine,"ENERGIZE 2E: 一次本回合, 获得1荣誉以 每个机械神器你控制的.",draft,,loc/zh-Hans/lua_cards.csv
